Calendar Year,Payer,Delivery System,Grouper,Birth Characteristic, Number of Births 
2007,Non-Medi-Cal,Other Coverage,Length of Gestation,Unknown Gestation,2525
2007,Non-Medi-Cal,Private Insurance,Length of Gestation,Normal Gestation (>=37 Weeks),207243
2007,Non-Medi-Cal,Private Insurance,Length of Gestation,Preterm Delivery (<37 Weeks),23995
2007,Non-Medi-Cal,Private Insurance,Length of Gestation,Unknown Gestation,8405
2007,Medi-Cal,Fee-for-Service,Maternal Age Group,Ages 17 and Younger,8048
2007,Medi-Cal,Fee-for-Service,Maternal Age Group,Ages 18-19,17949
2007,Medi-Cal,Fee-for-Service,Maternal Age Group,Ages 20-24,60523
2007,Medi-Cal,Fee-for-Service,Maternal Age Group,Ages 25-29,51062
2007,Medi-Cal,Fee-for-Service,Maternal Age Group,Ages 30-34,33190
2007,Medi-Cal,Fee-for-Service,Maternal Age Group,Ages 35 and Older,19691
2007,Medi-Cal,Fee-for-Service,Maternal Age Group,Invalid Age,0
2007,Medi-Cal,Managed Care,Maternal Age Group,Ages 17 and Younger,4928
2007,Medi-Cal,Managed Care,Maternal Age Group,Ages 18-19,10284
2007,Medi-Cal,Managed Care,Maternal Age Group,Ages 20-24,27248
2007,Medi-Cal,Managed Care,Maternal Age Group,Ages 25-29,19151
2007,Medi-Cal,Managed Care,Maternal Age Group,Ages 30-34,9756
2007,Medi-Cal,Managed Care,Maternal Age Group,Ages 35 and Older,6512
2007,Medi-Cal,Managed Care,Maternal Age Group,Invalid Age,0
2007,Non-Medi-Cal,Other Coverage,Maternal Age Group,Ages 17 and Younger,2665
2007,Non-Medi-Cal,Other Coverage,Maternal Age Group,Ages 18-19,3422
2007,Non-Medi-Cal,Other Coverage,Maternal Age Group,Ages 20-24,12472
2007,Non-Medi-Cal,Other Coverage,Maternal Age Group,Ages 25-29,14138
2007,Non-Medi-Cal,Other Coverage,Maternal Age Group,Ages 30-34,12024
2007,Non-Medi-Cal,Other Coverage,Maternal Age Group,Ages 35 and Older,8159
2007,Non-Medi-Cal,Other Coverage,Maternal Age Group,Invalid Age,19
2007,Non-Medi-Cal,Private Insurance,Maternal Age Group,Ages 17 and Younger,2454
2007,Non-Medi-Cal,Private Insurance,Maternal Age Group,Ages 18-19,3878
2007,Non-Medi-Cal,Private Insurance,Maternal Age Group,Ages 20-24,26704
2007,Non-Medi-Cal,Private Insurance,Maternal Age Group,Ages 25-29,64812
2007,Non-Medi-Cal,Private Insurance,Maternal Age Group,Ages 30-34,79137
2007,Non-Medi-Cal,Private Insurance,Maternal Age Group,Ages 35 and Older,62645
2007,Non-Medi-Cal,Private Insurance,Maternal Age Group,Invalid Age,13
2007,Medi-Cal,Fee-for-Service,Maternal Education Status,Bachelor's Degree or Higher,6694
2007,Medi-Cal,Fee-for-Service,Maternal Education Status,High School Graduate,55984
2007,Medi-Cal,Fee-for-Service,Maternal Education Status,Less Than High School,94265
2007,Medi-Cal,Fee-for-Service,Maternal Education Status,Some College or Associate's Degree,26944
2007,Medi-Cal,Fee-for-Service,Maternal Education Status,Unknown Education,6576
2007,Medi-Cal,Managed Care,Maternal Education Status,Bachelor's Degree or Higher,1971
2007,Medi-Cal,Managed Care,Maternal Education Status,High School Graduate,30871
2007,Medi-Cal,Managed Care,Maternal Education Status,Less Than High School,26576
2007,Medi-Cal,Managed Care,Maternal Education Status,Some College or Associate's Degree,16332
2007,Medi-Cal,Managed Care,Maternal Education Status,Unknown Education,2129
2007,Non-Medi-Cal,Other Coverage,Maternal Education Status,Bachelor's Degree or Higher,9799
2007,Non-Medi-Cal,Other Coverage,Maternal Education Status,High School Graduate,14869
2007,Non-Medi-Cal,Other Coverage,Maternal Education Status,Less Than High School,15011
2007,Non-Medi-Cal,Other Coverage,Maternal Education Status,Some College or Associate's Degree,11001
2007,Non-Medi-Cal,Other Coverage,Maternal Education Status,Unknown Education,2219
2007,Non-Medi-Cal,Private Insurance,Maternal Education Status,Bachelor's Degree or Higher,106315
2007,Non-Medi-Cal,Private Insurance,Maternal Education Status,High School Graduate,46372
2007,Non-Medi-Cal,Private Insurance,Maternal Education Status,Less Than High School,15159
2007,Non-Medi-Cal,Private Insurance,Maternal Education Status,Some College or Associate's Degree,63779
2007,Non-Medi-Cal,Private Insurance,Maternal Education Status,Unknown Education,8018
2007,Medi-Cal,Fee-for-Service,Maternal Nativity,Foreign-Born,129306
2007,Medi-Cal,Fee-for-Service,Maternal Nativity,U.S.-Born,61070
2007,Medi-Cal,Fee-for-Service,Maternal Nativity,Unknown Nativity,87
2007,Medi-Cal,Managed Care,Maternal Nativity,Foreign-Born,16743
2007,Medi-Cal,Managed Care,Maternal Nativity,U.S.-Born,61072
2007,Medi-Cal,Managed Care,Maternal Nativity,Unknown Nativity,64
2007,Non-Medi-Cal,Other Coverage,Maternal Nativity,Foreign-Born,25766
2007,Non-Medi-Cal,Other Coverage,Maternal Nativity,U.S.-Born,27056
2007,Non-Medi-Cal,Other Coverage,Maternal Nativity,Unknown Nativity,77
2007,Non-Medi-Cal,Private Insurance,Maternal Nativity,Foreign-Born,86448
2007,Non-Medi-Cal,Private Insurance,Maternal Nativity,U.S.-Born,153056
2007,Non-Medi-Cal,Private Insurance,Maternal Nativity,Unknown Nativity,139
2007,Medi-Cal,Fee-for-Service,Maternal Race/Ethnicity,African-American,6396
2007,Medi-Cal,Fee-for-Service,Maternal Race/Ethnicity,American Indian/Alaska Native,761
2007,Medi-Cal,Fee-for-Service,Maternal Race/Ethnicity,Asian,8511
2007,Medi-Cal,Fee-for-Service,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,678
2007,Medi-Cal,Fee-for-Service,Maternal Race/Ethnicity,Hispanic,149027
2007,Medi-Cal,Fee-for-Service,Maternal Race/Ethnicity,Other/Unknown Race,1521
2007,Medi-Cal,Fee-for-Service,Maternal Race/Ethnicity,Two or More Race Categories,1800
2007,Medi-Cal,Fee-for-Service,Maternal Race/Ethnicity,White,21769
2007,Medi-Cal,Managed Care,Maternal Race/Ethnicity,African-American,11759
2007,Medi-Cal,Managed Care,Maternal Race/Ethnicity,American Indian/Alaska Native,375
2007,Medi-Cal,Managed Care,Maternal Race/Ethnicity,Asian,5572
2007,Medi-Cal,Managed Care,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,585
2007,Medi-Cal,Managed Care,Maternal Race/Ethnicity,Hispanic,43593
2007,Medi-Cal,Managed Care,Maternal Race/Ethnicity,Other/Unknown Race,783
2007,Medi-Cal,Managed Care,Maternal Race/Ethnicity,Two or More Race Categories,1667
2007,Medi-Cal,Managed Care,Maternal Race/Ethnicity,White,13545
2007,Non-Medi-Cal,Other Coverage,Maternal Race/Ethnicity,African-American,2866
2007,Non-Medi-Cal,Other Coverage,Maternal Race/Ethnicity,American Indian/Alaska Native,236
2007,Non-Medi-Cal,Other Coverage,Maternal Race/Ethnicity,Asian,7075
2007,Non-Medi-Cal,Other Coverage,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,339
2007,Non-Medi-Cal,Other Coverage,Maternal Race/Ethnicity,Hispanic,28155
2007,Non-Medi-Cal,Other Coverage,Maternal Race/Ethnicity,Other/Unknown Race,1034
2007,Non-Medi-Cal,Other Coverage,Maternal Race/Ethnicity,Two or More Race Categories,864
2007,Non-Medi-Cal,Other Coverage,Maternal Race/Ethnicity,White,12330
2007,Non-Medi-Cal,Private Insurance,Maternal Race/Ethnicity,African-American,8110
2007,Non-Medi-Cal,Private Insurance,Maternal Race/Ethnicity,American Indian/Alaska Native,600
2007,Non-Medi-Cal,Private Insurance,Maternal Race/Ethnicity,Asian,44785
2007,Non-Medi-Cal,Private Insurance,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,988
2007,Non-Medi-Cal,Private Insurance,Maternal Race/Ethnicity,Hispanic,74507
2007,Non-Medi-Cal,Private Insurance,Maternal Race/Ethnicity,Other/Unknown Race,4946
2007,Non-Medi-Cal,Private Insurance,Maternal Race/Ethnicity,Two or More Race Categories,4992
2007,Non-Medi-Cal,Private Insurance,Maternal Race/Ethnicity,White,100715
2007,Medi-Cal,Fee-for-Service,Method of Delivery,Cesarean-Primary,31811
2007,Medi-Cal,Fee-for-Service,Method of Delivery,Cesarean-Repeat,27813
2007,Medi-Cal,Fee-for-Service,Method of Delivery,Vaginal,129786
2007,Medi-Cal,Fee-for-Service,Method of Delivery,Vaginal After Previous Cesarean,1053
2007,Medi-Cal,Managed Care,Method of Delivery,Cesarean-Primary,12495
2007,Medi-Cal,Managed Care,Method of Delivery,Cesarean-Repeat,11825
2007,Medi-Cal,Managed Care,Method of Delivery,Vaginal,53101
2007,Medi-Cal,Managed Care,Method of Delivery,Vaginal After Previous Cesarean,458
2007,Non-Medi-Cal,Other Coverage,Method of Delivery,Cesarean-Primary,9669
2007,Non-Medi-Cal,Other Coverage,Method of Delivery,Cesarean-Repeat,6987
2007,Non-Medi-Cal,Other Coverage,Method of Delivery,Vaginal,35952
2007,Non-Medi-Cal,Other Coverage,Method of Delivery,Vaginal After Previous Cesarean,291
2007,Non-Medi-Cal,Private Insurance,Method of Delivery,Cesarean-Primary,49296
2007,Non-Medi-Cal,Private Insurance,Method of Delivery,Cesarean-Repeat,30990
2007,Non-Medi-Cal,Private Insurance,Method of Delivery,Vaginal,157433
2007,Non-Medi-Cal,Private Insurance,Method of Delivery,Vaginal After Previous Cesarean,1924
2007,Medi-Cal,Fee-for-Service,Parity Status,First-Born,71439
2007,Medi-Cal,Fee-for-Service,Parity Status,One Previous Birth,53631
2007,Medi-Cal,Fee-for-Service,Parity Status,Two or More Previous Births,65212
2007,Medi-Cal,Fee-for-Service,Parity Status,Unknown Parity,181
2007,Medi-Cal,Managed Care,Parity Status,First-Born,24984
2007,Medi-Cal,Managed Care,Parity Status,One Previous Birth,22587
2007,Medi-Cal,Managed Care,Parity Status,Two or More Previous Births,30229
2007,Medi-Cal,Managed Care,Parity Status,Unknown Parity,79
2007,Non-Medi-Cal,Other Coverage,Parity Status,First-Born,21195
2007,Non-Medi-Cal,Other Coverage,Parity Status,One Previous Birth,15550
2007,Non-Medi-Cal,Other Coverage,Parity Status,Two or More Previous Births,16042
2007,Non-Medi-Cal,Other Coverage,Parity Status,Unknown Parity,112
2007,Non-Medi-Cal,Private Insurance,Parity Status,First-Born,101049
2007,Non-Medi-Cal,Private Insurance,Parity Status,One Previous Birth,82396
2007,Non-Medi-Cal,Private Insurance,Parity Status,Two or More Previous Births,55914
2007,Non-Medi-Cal,Private Insurance,Parity Status,Unknown Parity,284
2007,Medi-Cal,Fee-for-Service,Prenatal Care Initiation,First Trimester Initiation,143174
2007,Medi-Cal,Fee-for-Service,Prenatal Care Initiation,No Prenatal Care,1176
2007,Medi-Cal,Fee-for-Service,Prenatal Care Initiation,Second Trimester Initiation,34284
2007,Medi-Cal,Fee-for-Service,Prenatal Care Initiation,Third Trimester Initiation,7803
2007,Medi-Cal,Fee-for-Service,Prenatal Care Initiation,Unknown Prenatal Care,4026
2007,Medi-Cal,Managed Care,Prenatal Care Initiation,First Trimester Initiation,56966
2007,Medi-Cal,Managed Care,Prenatal Care Initiation,No Prenatal Care,596
2007,Medi-Cal,Managed Care,Prenatal Care Initiation,Second Trimester Initiation,15310
2007,Medi-Cal,Managed Care,Prenatal Care Initiation,Third Trimester Initiation,2627
2007,Medi-Cal,Managed Care,Prenatal Care Initiation,Unknown Prenatal Care,2380
2007,Non-Medi-Cal,Other Coverage,Prenatal Care Initiation,First Trimester Initiation,41023
2007,Non-Medi-Cal,Other Coverage,Prenatal Care Initiation,No Prenatal Care,916
2007,Non-Medi-Cal,Other Coverage,Prenatal Care Initiation,Second Trimester Initiation,7683
2007,Non-Medi-Cal,Other Coverage,Prenatal Care Initiation,Third Trimester Initiation,1805
2007,Non-Medi-Cal,Other Coverage,Prenatal Care Initiation,Unknown Prenatal Care,1470
2007,Non-Medi-Cal,Private Insurance,Prenatal Care Initiation,First Trimester Initiation,214678
2007,Non-Medi-Cal,Private Insurance,Prenatal Care Initiation,No Prenatal Care,251
2007,Non-Medi-Cal,Private Insurance,Prenatal Care Initiation,Second Trimester Initiation,18773
2007,Non-Medi-Cal,Private Insurance,Prenatal Care Initiation,Third Trimester Initiation,2090
2007,Non-Medi-Cal,Private Insurance,Prenatal Care Initiation,Unknown Prenatal Care,3851
2007,Medi-Cal,Fee-for-Service,Pre-Pregnancy Weight,Normal Weight,73904
2007,Medi-Cal,Fee-for-Service,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,78203
2007,Medi-Cal,Fee-for-Service,Pre-Pregnancy Weight,Underweight,6591
2007,Medi-Cal,Fee-for-Service,Pre-Pregnancy Weight,Unknown Weight,31765
2007,Medi-Cal,Managed Care,Pre-Pregnancy Weight,Normal Weight,29791
2007,Medi-Cal,Managed Care,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,34918
2007,Medi-Cal,Managed Care,Pre-Pregnancy Weight,Underweight,3083
2007,Medi-Cal,Managed Care,Pre-Pregnancy Weight,Unknown Weight,10087
2007,Non-Medi-Cal,Other Coverage,Pre-Pregnancy Weight,Normal Weight,16088
2007,Non-Medi-Cal,Other Coverage,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,13011
2007,Non-Medi-Cal,Other Coverage,Pre-Pregnancy Weight,Underweight,1611
2007,Non-Medi-Cal,Other Coverage,Pre-Pregnancy Weight,Unknown Weight,22189
2007,Non-Medi-Cal,Private Insurance,Pre-Pregnancy Weight,Normal Weight,117912
2007,Non-Medi-Cal,Private Insurance,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,81514
2007,Non-Medi-Cal,Private Insurance,Pre-Pregnancy Weight,Underweight,9161
2007,Non-Medi-Cal,Private Insurance,Pre-Pregnancy Weight,Unknown Weight,31056
2007,Medi-Cal,Fee-for-Service,Single/Multiple Birth,Multiple Birth,3798
2007,Medi-Cal,Fee-for-Service,Single/Multiple Birth,Singleton Birth,186665
2007,Medi-Cal,Managed Care,Single/Multiple Birth,Multiple Birth,2038
2007,Medi-Cal,Managed Care,Single/Multiple Birth,Singleton Birth,75841
2007,Non-Medi-Cal,Other Coverage,Single/Multiple Birth,Multiple Birth,1545
2007,Non-Medi-Cal,Other Coverage,Single/Multiple Birth,Singleton Birth,51354
2007,Non-Medi-Cal,Private Insurance,Single/Multiple Birth,Multiple Birth,10009
2007,Non-Medi-Cal,Private Insurance,Single/Multiple Birth,Singleton Birth,229634
2007,Medi-Cal,Fee-for-Service,Smoking Status,Maternal Non-Smoker,178004
2007,Medi-Cal,Fee-for-Service,Smoking Status,Maternal Smoker,5780
2007,Medi-Cal,Fee-for-Service,Smoking Status,Unknown Smoking Status,6679
2007,Medi-Cal,Managed Care,Smoking Status,Maternal Non-Smoker,71030
2007,Medi-Cal,Managed Care,Smoking Status,Maternal Smoker,4724
2007,Medi-Cal,Managed Care,Smoking Status,Unknown Smoking Status,2125
2007,Non-Medi-Cal,Other Coverage,Smoking Status,Maternal Non-Smoker,34542
2007,Non-Medi-Cal,Other Coverage,Smoking Status,Maternal Smoker,1015
2007,Non-Medi-Cal,Other Coverage,Smoking Status,Unknown Smoking Status,17342
2007,Non-Medi-Cal,Private Insurance,Smoking Status,Maternal Non-Smoker,228046
2007,Non-Medi-Cal,Private Insurance,Smoking Status,Maternal Smoker,2558
2007,Non-Medi-Cal,Private Insurance,Smoking Status,Unknown Smoking Status,9039
2007,Medi-Cal,Fee-for-Service,Substance Use Status,Maternal Non-Substance User,188106
2007,Medi-Cal,Fee-for-Service,Substance Use Status,Maternal Substance User,2357
2007,Medi-Cal,Fee-for-Service,Substance Use Status,Unknown Substance Use Status,0
2007,Medi-Cal,Managed Care,Substance Use Status,Maternal Non-Substance User,75499
2007,Medi-Cal,Managed Care,Substance Use Status,Maternal Substance User,2380
2007,Medi-Cal,Managed Care,Substance Use Status,Unknown Substance Use Status,0
2007,Non-Medi-Cal,Other Coverage,Substance Use Status,Maternal Non-Substance User,35980
2007,Non-Medi-Cal,Other Coverage,Substance Use Status,Maternal Substance User,718
2007,Non-Medi-Cal,Other Coverage,Substance Use Status,Unknown Substance Use Status,16201
2007,Non-Medi-Cal,Private Insurance,Substance Use Status,Maternal Non-Substance User,231884
2007,Non-Medi-Cal,Private Insurance,Substance Use Status,Maternal Substance User,752
2007,Non-Medi-Cal,Private Insurance,Substance Use Status,Unknown Substance Use Status,7007
2007,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,"Birthweight >=1,500g",188343
2007,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,Unknown Birthweight,14
2007,Medi-Cal,Fee-for-Service,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",2106
2007,Medi-Cal,Managed Care,Very Low Birthweight Status,"Birthweight >=1,500g",76962
2007,Medi-Cal,Managed Care,Very Low Birthweight Status,Unknown Birthweight,3
2007,Medi-Cal,Managed Care,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",914
2007,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,"Birthweight >=1,500g",52081
2007,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,Unknown Birthweight,12
2007,Non-Medi-Cal,Other Coverage,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",806
2007,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,"Birthweight >=1,500g",236818
2007,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,Unknown Birthweight,26
2007,Non-Medi-Cal,Private Insurance,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",2799
2007,Medi-Cal,Fee-for-Service,Very Preterm Status,Gestation >=32 Weeks,180418
2007,Medi-Cal,Fee-for-Service,Very Preterm Status,Unknown Gestation,7050
2007,Medi-Cal,Fee-for-Service,Very Preterm Status,Very Preterm Delivery (<32 Weeks),2995
2007,Medi-Cal,Managed Care,Very Preterm Status,Gestation >=32 Weeks,72022
2007,Medi-Cal,Managed Care,Very Preterm Status,Unknown Gestation,4461
2007,Medi-Cal,Managed Care,Very Preterm Status,Very Preterm Delivery (<32 Weeks),1396
2007,Non-Medi-Cal,Other Coverage,Very Preterm Status,Gestation >=32 Weeks,49347
2007,Non-Medi-Cal,Other Coverage,Very Preterm Status,Unknown Gestation,2525
2007,Non-Medi-Cal,Other Coverage,Very Preterm Status,Very Preterm Delivery (<32 Weeks),1027
2007,Non-Medi-Cal,Private Insurance,Very Preterm Status,Gestation >=32 Weeks,227978
2007,Non-Medi-Cal,Private Insurance,Very Preterm Status,Unknown Gestation,8405
2007,Non-Medi-Cal,Private Insurance,Very Preterm Status,Very Preterm Delivery (<32 Weeks),3260
2008,Medi-Cal,Fee-for-Service,Birthweight Range,Low Birthweight,11893
2008,Medi-Cal,Fee-for-Service,Birthweight Range,Normal Birthweight,173968
2008,Medi-Cal,Fee-for-Service,Birthweight Range,Unknown Birthweight,25
2008,Medi-Cal,Managed Care,Birthweight Range,Low Birthweight,5784
2008,Medi-Cal,Managed Care,Birthweight Range,Normal Birthweight,73581
2008,Medi-Cal,Managed Care,Birthweight Range,Unknown Birthweight,10
2008,Non-Medi-Cal,Other Coverage,Birthweight Range,Low Birthweight,3614
2008,Non-Medi-Cal,Other Coverage,Birthweight Range,Normal Birthweight,44741
2008,Non-Medi-Cal,Other Coverage,Birthweight Range,Unknown Birthweight,15
2008,Non-Medi-Cal,Private Insurance,Birthweight Range,Low Birthweight,15940
2008,Non-Medi-Cal,Private Insurance,Birthweight Range,Normal Birthweight,216645
2008,Non-Medi-Cal,Private Insurance,Birthweight Range,Unknown Birthweight,34
2008,Medi-Cal,Fee-for-Service,Diabetes Status,Diabetes Diagnosis,13946
2008,Medi-Cal,Fee-for-Service,Diabetes Status,No Diabetes Diagnosis,171940
2008,Medi-Cal,Fee-for-Service,Diabetes Status,Unknown Diabetes Status,0
2008,Medi-Cal,Managed Care,Diabetes Status,Diabetes Diagnosis,4966
2008,Medi-Cal,Managed Care,Diabetes Status,No Diabetes Diagnosis,74409
2008,Medi-Cal,Managed Care,Diabetes Status,Unknown Diabetes Status,0
2008,Non-Medi-Cal,Other Coverage,Diabetes Status,Diabetes Diagnosis,2040
2008,Non-Medi-Cal,Other Coverage,Diabetes Status,No Diabetes Diagnosis,31513
2008,Non-Medi-Cal,Other Coverage,Diabetes Status,Unknown Diabetes Status,14817
2008,Non-Medi-Cal,Private Insurance,Diabetes Status,Diabetes Diagnosis,18656
2008,Non-Medi-Cal,Private Insurance,Diabetes Status,No Diabetes Diagnosis,206846
2008,Non-Medi-Cal,Private Insurance,Diabetes Status,Unknown Diabetes Status,7117
2008,Medi-Cal,Fee-for-Service,Hypertension Status,Hypertension Diagnosis,11743
2008,Medi-Cal,Fee-for-Service,Hypertension Status,No Hypertension Diagnosis,174143
2008,Medi-Cal,Fee-for-Service,Hypertension Status,Unknown Hypertension Status,0
2008,Medi-Cal,Managed Care,Hypertension Status,Hypertension Diagnosis,5666
2008,Medi-Cal,Managed Care,Hypertension Status,No Hypertension Diagnosis,73709
2008,Medi-Cal,Managed Care,Hypertension Status,Unknown Hypertension Status,0
2008,Non-Medi-Cal,Other Coverage,Hypertension Status,Hypertension Diagnosis,2107
2008,Non-Medi-Cal,Other Coverage,Hypertension Status,No Hypertension Diagnosis,31446
2008,Non-Medi-Cal,Other Coverage,Hypertension Status,Unknown Hypertension Status,14817
2008,Non-Medi-Cal,Private Insurance,Hypertension Status,Hypertension Diagnosis,15649
2008,Non-Medi-Cal,Private Insurance,Hypertension Status,No Hypertension Diagnosis,209853
2008,Non-Medi-Cal,Private Insurance,Hypertension Status,Unknown Hypertension Status,7117
2008,Medi-Cal,Fee-for-Service,Length of Gestation,Normal Gestation (>=37 Weeks),160110
2008,Medi-Cal,Fee-for-Service,Length of Gestation,Preterm Delivery (<37 Weeks),19414
2008,Medi-Cal,Fee-for-Service,Length of Gestation,Unknown Gestation,6362
2008,Medi-Cal,Managed Care,Length of Gestation,Normal Gestation (>=37 Weeks),66246
2008,Medi-Cal,Managed Care,Length of Gestation,Preterm Delivery (<37 Weeks),9221
2008,Medi-Cal,Managed Care,Length of Gestation,Unknown Gestation,3908
2008,Non-Medi-Cal,Other Coverage,Length of Gestation,Normal Gestation (>=37 Weeks),41069
2008,Non-Medi-Cal,Other Coverage,Length of Gestation,Preterm Delivery (<37 Weeks),5324
2008,Non-Medi-Cal,Other Coverage,Length of Gestation,Unknown Gestation,1977
2008,Non-Medi-Cal,Private Insurance,Length of Gestation,Normal Gestation (>=37 Weeks),202598
2008,Non-Medi-Cal,Private Insurance,Length of Gestation,Preterm Delivery (<37 Weeks),22318
2008,Non-Medi-Cal,Private Insurance,Length of Gestation,Unknown Gestation,7703
2008,Medi-Cal,Fee-for-Service,Maternal Age Group,Ages 17 and Younger,7646
2008,Medi-Cal,Fee-for-Service,Maternal Age Group,Ages 18-19,17027
2008,Medi-Cal,Fee-for-Service,Maternal Age Group,Ages 20-24,57697
2008,Medi-Cal,Fee-for-Service,Maternal Age Group,Ages 25-29,50207
2008,Medi-Cal,Fee-for-Service,Maternal Age Group,Ages 30-34,33200
2008,Medi-Cal,Fee-for-Service,Maternal Age Group,Ages 35 and Older,20109
2008,Medi-Cal,Fee-for-Service,Maternal Age Group,Invalid Age,0
2008,Medi-Cal,Managed Care,Maternal Age Group,Ages 17 and Younger,4888
2008,Medi-Cal,Managed Care,Maternal Age Group,Ages 18-19,10694
2008,Medi-Cal,Managed Care,Maternal Age Group,Ages 20-24,27632
2008,Medi-Cal,Managed Care,Maternal Age Group,Ages 25-29,19556
2008,Medi-Cal,Managed Care,Maternal Age Group,Ages 30-34,10015
2008,Medi-Cal,Managed Care,Maternal Age Group,Ages 35 and Older,6590
2008,Medi-Cal,Managed Care,Maternal Age Group,Invalid Age,0
2008,Non-Medi-Cal,Other Coverage,Maternal Age Group,Ages 17 and Younger,2593
2008,Non-Medi-Cal,Other Coverage,Maternal Age Group,Ages 18-19,3214
2008,Non-Medi-Cal,Other Coverage,Maternal Age Group,Ages 20-24,11219
