Calendar Year,Payer ,Length of Gestation,Grouper,Birth Characteristic, Number of Births 
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,97147
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Pre-Pregnancy Weight,Underweight,8155
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Pre-Pregnancy Weight,Unknown Weight,32272
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Single/Multiple Birth,Multiple Birth,2365
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Single/Multiple Birth,Singleton Birth,224747
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Smoking Status,Maternal Non-Smoker,211831
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Smoking Status,Maternal Smoker,8362
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Smoking Status,Unknown Smoking Status,6919
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Substance Use Status,Maternal Non-Substance User,223735
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Substance Use Status,Maternal Substance User,3377
2007,Medi-Cal,Normal Gestation (>=37 Weeks),Substance Use Status,Unknown Substance Use Status,0
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Diabetes Status,Diabetes Diagnosis,2835
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Diabetes Status,No Diabetes Diagnosis,26884
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Hypertension Status,Hypertension Diagnosis,4231
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Hypertension Status,No Hypertension Diagnosis,25488
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Age Group,Ages 17 and Younger,1677
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Age Group,Ages 18-19,3082
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Age Group,Ages 20-24,9070
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Age Group,Ages 25-29,7112
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Age Group,Ages 30-34,5027
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Age Group,Ages 35 and Older,3751
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Age Group,Invalid Age,0
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Education Status,Bachelor's Degree or Higher,832
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Education Status,High School Graduate,9584
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Education Status,Less Than High School,13531
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Education Status,Some College or Associate's Degree,4791
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Education Status,Unknown Education,981
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Nativity,Foreign-Born,15139
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Nativity,U.S.-Born,14563
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Nativity,Unknown Nativity,17
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Race/Ethnicity,African-American,2709
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Race/Ethnicity,American Indian/Alaska Native,135
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Race/Ethnicity,Asian,1551
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Race/Ethnicity,Hawaiian/Pacific Islander,146
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Race/Ethnicity,Hispanic,20841
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Race/Ethnicity,Other/Unknown Race,308
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Race/Ethnicity,Two or More Race Categories,415
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Race/Ethnicity,White,3614
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Parity Status,First-Born,9623
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Parity Status,One Previous Birth,7943
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Parity Status,Two or More Previous Births,12128
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Parity Status,Unknown Parity,25
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Pre-Pregnancy Weight,Normal Weight,10735
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,11927
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Pre-Pregnancy Weight,Underweight,1139
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Pre-Pregnancy Weight,Unknown Weight,5918
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Single/Multiple Birth,Multiple Birth,3236
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Single/Multiple Birth,Singleton Birth,26483
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Smoking Status,Maternal Non-Smoker,27202
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Smoking Status,Maternal Smoker,1435
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Smoking Status,Unknown Smoking Status,1082
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Substance Use Status,Maternal Non-Substance User,28830
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Substance Use Status,Maternal Substance User,889
2007,Medi-Cal,Preterm Delivery (<37 Weeks),Substance Use Status,Unknown Substance Use Status,0
2007,Medi-Cal,Unknown Gestation,Diabetes Status,Diabetes Diagnosis,717
2007,Medi-Cal,Unknown Gestation,Diabetes Status,No Diabetes Diagnosis,10794
2007,Medi-Cal,Unknown Gestation,Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,Unknown Gestation,Hypertension Status,Hypertension Diagnosis,797
2007,Medi-Cal,Unknown Gestation,Hypertension Status,No Hypertension Diagnosis,10714
2007,Medi-Cal,Unknown Gestation,Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 17 and Younger,665
2007,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 18-19,1307
2007,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 20-24,4089
2007,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 25-29,2907
2007,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 30-34,1632
2007,Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 35 and Older,911
2007,Medi-Cal,Unknown Gestation,Maternal Age Group,Invalid Age,0
2007,Medi-Cal,Unknown Gestation,Maternal Education Status,Bachelor's Degree or Higher,189
2007,Medi-Cal,Unknown Gestation,Maternal Education Status,High School Graduate,4061
2007,Medi-Cal,Unknown Gestation,Maternal Education Status,Less Than High School,4797
2007,Medi-Cal,Unknown Gestation,Maternal Education Status,Some College or Associate's Degree,1810
2007,Medi-Cal,Unknown Gestation,Maternal Education Status,Unknown Education,654
2007,Medi-Cal,Unknown Gestation,Maternal Nativity,Foreign-Born,4591
2007,Medi-Cal,Unknown Gestation,Maternal Nativity,U.S.-Born,6892
2007,Medi-Cal,Unknown Gestation,Maternal Nativity,Unknown Nativity,28
2007,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,African-American,996
2007,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,American Indian/Alaska Native,74
2007,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Asian,437
2007,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,63
2007,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Hispanic,7629
2007,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Other/Unknown Race,158
2007,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Two or More Race Categories,189
2007,Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,White,1965
2007,Medi-Cal,Unknown Gestation,Parity Status,First-Born,3752
2007,Medi-Cal,Unknown Gestation,Parity Status,One Previous Birth,3206
2007,Medi-Cal,Unknown Gestation,Parity Status,Two or More Previous Births,4444
2007,Medi-Cal,Unknown Gestation,Parity Status,Unknown Parity,109
2007,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Normal Weight,3422
2007,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,4047
2007,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Underweight,380
2007,Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Unknown Weight,3662
2007,Medi-Cal,Unknown Gestation,Single/Multiple Birth,Multiple Birth,235
2007,Medi-Cal,Unknown Gestation,Single/Multiple Birth,Singleton Birth,11276
2007,Medi-Cal,Unknown Gestation,Smoking Status,Maternal Non-Smoker,10001
2007,Medi-Cal,Unknown Gestation,Smoking Status,Maternal Smoker,707
2007,Medi-Cal,Unknown Gestation,Smoking Status,Unknown Smoking Status,803
2007,Medi-Cal,Unknown Gestation,Substance Use Status,Maternal Non-Substance User,11040
2007,Medi-Cal,Unknown Gestation,Substance Use Status,Maternal Substance User,471
2007,Medi-Cal,Unknown Gestation,Substance Use Status,Unknown Substance Use Status,0
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Diabetes Status,Diabetes Diagnosis,17394
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Diabetes Status,No Diabetes Diagnosis,215250
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Diabetes Status,Unknown Diabetes Status,18828
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Hypertension Status,Hypertension Diagnosis,12998
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Hypertension Status,No Hypertension Diagnosis,219646
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Hypertension Status,Unknown Hypertension Status,18828
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 17 and Younger,4097
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 18-19,6058
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 20-24,33504
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 25-29,68672
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 30-34,79274
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 35 and Older,59853
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Invalid Age,14
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Education Status,Bachelor's Degree or Higher,102136
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Education Status,High School Graduate,51991
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Education Status,Less Than High School,24941
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Education Status,Some College or Associate's Degree,64149
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Education Status,Unknown Education,8255
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Nativity,Foreign-Born,97313
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Nativity,U.S.-Born,154015
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Nativity,Unknown Nativity,144
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Race/Ethnicity,African-American,8834
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Race/Ethnicity,American Indian/Alaska Native,703
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Race/Ethnicity,Asian,45700
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Race/Ethnicity,Hawaiian/Pacific Islander,1116
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Race/Ethnicity,Hispanic,87113
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Race/Ethnicity,Other/Unknown Race,4832
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Race/Ethnicity,Two or More Race Categories,4972
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Race/Ethnicity,White,98202
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Parity Status,First-Born,106999
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Parity Status,One Previous Birth,84724
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Parity Status,Two or More Previous Births,59591
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Parity Status,Unknown Parity,158
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Pre-Pregnancy Weight,Normal Weight,119046
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,82420
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Pre-Pregnancy Weight,Underweight,9442
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Pre-Pregnancy Weight,Unknown Weight,40564
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Single/Multiple Birth,Multiple Birth,4411
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Single/Multiple Birth,Singleton Birth,247061
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Smoking Status,Maternal Non-Smoker,227459
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Smoking Status,Maternal Smoker,2896
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Smoking Status,Unknown Smoking Status,21117
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Substance Use Status,Maternal Non-Substance User,231633
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Substance Use Status,Maternal Substance User,1011
2007,Non-Medi-Cal,Normal Gestation (>=37 Weeks),Substance Use Status,Unknown Substance Use Status,18828
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Diabetes Status,Diabetes Diagnosis,3058
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Diabetes Status,No Diabetes Diagnosis,23807
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Diabetes Status,Unknown Diabetes Status,3275
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Hypertension Status,Hypertension Diagnosis,4788
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Hypertension Status,No Hypertension Diagnosis,22077
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Hypertension Status,Unknown Hypertension Status,3275
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Age Group,Ages 17 and Younger,703
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Age Group,Ages 18-19,836
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Age Group,Ages 20-24,3746
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Age Group,Ages 25-29,7286
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Age Group,Ages 30-34,8921
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Age Group,Ages 35 and Older,8645
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Age Group,Invalid Age,3
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Education Status,Bachelor's Degree or Higher,11025
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Education Status,High School Graduate,6359
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Education Status,Less Than High School,3750
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Education Status,Some College or Associate's Degree,7811
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Education Status,Unknown Education,1195
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Nativity,Foreign-Born,11311
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Nativity,U.S.-Born,18802
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Nativity,Unknown Nativity,27
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Race/Ethnicity,African-American,1603
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Race/Ethnicity,American Indian/Alaska Native,98
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Race/Ethnicity,Asian,5011
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Race/Ethnicity,Hawaiian/Pacific Islander,163
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Race/Ethnicity,Hispanic,11043
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Race/Ethnicity,Other/Unknown Race,785
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Race/Ethnicity,Two or More Race Categories,651
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Maternal Race/Ethnicity,White,10786
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Parity Status,First-Born,11410
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Parity Status,One Previous Birth,9696
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Parity Status,Two or More Previous Births,9012
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Parity Status,Unknown Parity,22
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Pre-Pregnancy Weight,Normal Weight,11389
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,8980
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Pre-Pregnancy Weight,Underweight,1019
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Pre-Pregnancy Weight,Unknown Weight,8752
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Single/Multiple Birth,Multiple Birth,6620
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Single/Multiple Birth,Singleton Birth,23520
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Smoking Status,Maternal Non-Smoker,26044
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Smoking Status,Maternal Smoker,452
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Smoking Status,Unknown Smoking Status,3644
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Substance Use Status,Maternal Non-Substance User,26586
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Substance Use Status,Maternal Substance User,279
2007,Non-Medi-Cal,Preterm Delivery (<37 Weeks),Substance Use Status,Unknown Substance Use Status,3275
2007,Non-Medi-Cal,Unknown Gestation,Diabetes Status,Diabetes Diagnosis,797
2007,Non-Medi-Cal,Unknown Gestation,Diabetes Status,No Diabetes Diagnosis,9028
2007,Non-Medi-Cal,Unknown Gestation,Diabetes Status,Unknown Diabetes Status,1105
2007,Non-Medi-Cal,Unknown Gestation,Hypertension Status,Hypertension Diagnosis,693
2007,Non-Medi-Cal,Unknown Gestation,Hypertension Status,No Hypertension Diagnosis,9132
2007,Non-Medi-Cal,Unknown Gestation,Hypertension Status,Unknown Hypertension Status,1105
2007,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 17 and Younger,319
2007,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 18-19,406
2007,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 20-24,1926
2007,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 25-29,2992
2007,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 30-34,2966
2007,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Ages 35 and Older,2306
2007,Non-Medi-Cal,Unknown Gestation,Maternal Age Group,Invalid Age,15
2007,Non-Medi-Cal,Unknown Gestation,Maternal Education Status,Bachelor's Degree or Higher,2953
2007,Non-Medi-Cal,Unknown Gestation,Maternal Education Status,High School Graduate,2891
2007,Non-Medi-Cal,Unknown Gestation,Maternal Education Status,Less Than High School,1479
2007,Non-Medi-Cal,Unknown Gestation,Maternal Education Status,Some College or Associate's Degree,2820
2007,Non-Medi-Cal,Unknown Gestation,Maternal Education Status,Unknown Education,787
2007,Non-Medi-Cal,Unknown Gestation,Maternal Nativity,Foreign-Born,3590
2007,Non-Medi-Cal,Unknown Gestation,Maternal Nativity,U.S.-Born,7295
2007,Non-Medi-Cal,Unknown Gestation,Maternal Nativity,Unknown Nativity,45
2007,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,African-American,539
2007,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,American Indian/Alaska Native,35
2007,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Asian,1149
2007,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,48
2007,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Hispanic,4506
2007,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Other/Unknown Race,363
2007,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,Two or More Race Categories,233
2007,Non-Medi-Cal,Unknown Gestation,Maternal Race/Ethnicity,White,4057
2007,Non-Medi-Cal,Unknown Gestation,Parity Status,First-Born,3835
2007,Non-Medi-Cal,Unknown Gestation,Parity Status,One Previous Birth,3526
2007,Non-Medi-Cal,Unknown Gestation,Parity Status,Two or More Previous Births,3353
2007,Non-Medi-Cal,Unknown Gestation,Parity Status,Unknown Parity,216
2007,Non-Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Normal Weight,3565
2007,Non-Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,3125
2007,Non-Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Underweight,311
2007,Non-Medi-Cal,Unknown Gestation,Pre-Pregnancy Weight,Unknown Weight,3929
2007,Non-Medi-Cal,Unknown Gestation,Single/Multiple Birth,Multiple Birth,523
2007,Non-Medi-Cal,Unknown Gestation,Single/Multiple Birth,Singleton Birth,10407
2007,Non-Medi-Cal,Unknown Gestation,Smoking Status,Maternal Non-Smoker,9085
2007,Non-Medi-Cal,Unknown Gestation,Smoking Status,Maternal Smoker,225
2007,Non-Medi-Cal,Unknown Gestation,Smoking Status,Unknown Smoking Status,1620
2007,Non-Medi-Cal,Unknown Gestation,Substance Use Status,Maternal Non-Substance User,9645
2007,Non-Medi-Cal,Unknown Gestation,Substance Use Status,Maternal Substance User,180
2007,Non-Medi-Cal,Unknown Gestation,Substance Use Status,Unknown Substance Use Status,1105
2008,Medi-Cal,Normal Gestation (>=37 Weeks),Diabetes Status,Diabetes Diagnosis,15346
2008,Medi-Cal,Normal Gestation (>=37 Weeks),Diabetes Status,No Diabetes Diagnosis,211010
2008,Medi-Cal,Normal Gestation (>=37 Weeks),Diabetes Status,Unknown Diabetes Status,0
2008,Medi-Cal,Normal Gestation (>=37 Weeks),Hypertension Status,Hypertension Diagnosis,12619
2008,Medi-Cal,Normal Gestation (>=37 Weeks),Hypertension Status,No Hypertension Diagnosis,213737
2008,Medi-Cal,Normal Gestation (>=37 Weeks),Hypertension Status,Unknown Hypertension Status,0
2008,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 17 and Younger,10502
2008,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 18-19,23652
2008,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 20-24,73381
2008,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 25-29,59925
2008,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 30-34,36848
2008,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Ages 35 and Older,22048
2008,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Age Group,Invalid Age,0
2008,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Education Status,Bachelor's Degree or Higher,7888
2008,Medi-Cal,Normal Gestation (>=37 Weeks),Maternal Education Status,High School Graduate,73872
