Calendar Year,Payer,Method of Delivery,Grouper,Birth Characteristic, Number of Births 
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Less Than High School,746
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Some College or Associate's Degree,211
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Unknown Education,79
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Foreign-Born,970
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,U.S.-Born,540
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Unknown Nativity,1
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,African-American,134
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,American Indian/Alaska Native,10
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Asian,106
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,13
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hispanic,1051
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Other/Unknown Race,19
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Two or More Race Categories,21
2007,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,White,157
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 17 and Younger,917
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 18-19,1380
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 20-24,7104
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 25-29,14900
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 30-34,17892
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 35 and Older,16766
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Invalid Age,6
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Bachelor's Degree or Higher,26264
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,High School Graduate,10728
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Less Than High School,4667
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Some College or Associate's Degree,15032
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Unknown Education,2274
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,Foreign-Born,22016
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,U.S.-Born,36907
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,Unknown Nativity,42
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,African-American,2640
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,American Indian/Alaska Native,142
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Asian,10893
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,240
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hispanic,18553
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Other/Unknown Race,1414
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Two or More Race Categories,1184
2007,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,White,23899
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 17 and Younger,54
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 18-19,183
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 20-24,2641
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 25-29,8038
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 30-34,13141
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 35 and Older,13915
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Invalid Age,5
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Bachelor's Degree or Higher,14594
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,High School Graduate,7948
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Less Than High School,4288
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Some College or Associate's Degree,9881
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Unknown Education,1266
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Nativity,Foreign-Born,15675
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Nativity,U.S.-Born,22279
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Nativity,Unknown Nativity,23
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,African-American,1483
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,American Indian/Alaska Native,117
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Asian,6150
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,174
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hispanic,14625
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Other/Unknown Race,745
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Two or More Race Categories,666
2007,Non-Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,White,14017
2007,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 17 and Younger,4143
2007,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 18-19,5725
2007,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 20-24,29265
2007,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 25-29,55512
2007,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 30-34,59325
2007,Non-Medi-Cal,Vaginal,Maternal Age Group,Ages 35 and Older,39395
2007,Non-Medi-Cal,Vaginal,Maternal Age Group,Invalid Age,20
2007,Non-Medi-Cal,Vaginal,Maternal Education Status,Bachelor's Degree or Higher,74382
2007,Non-Medi-Cal,Vaginal,Maternal Education Status,High School Graduate,42112
2007,Non-Medi-Cal,Vaginal,Maternal Education Status,Less Than High School,20935
2007,Non-Medi-Cal,Vaginal,Maternal Education Status,Some College or Associate's Degree,49331
2007,Non-Medi-Cal,Vaginal,Maternal Education Status,Unknown Education,6625
2007,Non-Medi-Cal,Vaginal,Maternal Nativity,Foreign-Born,73595
2007,Non-Medi-Cal,Vaginal,Maternal Nativity,U.S.-Born,119641
2007,Non-Medi-Cal,Vaginal,Maternal Nativity,Unknown Nativity,149
2007,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,African-American,6745
2007,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,American Indian/Alaska Native,574
2007,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Asian,34464
2007,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,895
2007,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hispanic,68649
2007,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Other/Unknown Race,3789
2007,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,Two or More Race Categories,3955
2007,Non-Medi-Cal,Vaginal,Maternal Race/Ethnicity,White,74314
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 17 and Younger,5
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 18-19,12
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 20-24,166
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 25-29,500
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 30-34,803
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 35 and Older,728
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Invalid Age,1
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Bachelor's Degree or Higher,874
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,High School Graduate,453
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Less Than High School,280
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Some College or Associate's Degree,536
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Unknown Education,72
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Foreign-Born,928
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,U.S.-Born,1285
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Unknown Nativity,2
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,African-American,108
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,American Indian/Alaska Native,3
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Asian,353
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,18
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hispanic,835
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Other/Unknown Race,32
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Two or More Race Categories,51
2007,Non-Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,White,815
2008,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 17 and Younger,2398
2008,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 18-19,5340
2008,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 20-24,14468
2008,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 25-29,10132
2008,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 30-34,6610
2008,Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 35 and Older,5043
2008,Medi-Cal,Cesarean-Primary,Maternal Age Group,Invalid Age,0
2008,Medi-Cal,Cesarean-Primary,Maternal Education Status,Bachelor's Degree or Higher,1830
2008,Medi-Cal,Cesarean-Primary,Maternal Education Status,High School Graduate,14947
2008,Medi-Cal,Cesarean-Primary,Maternal Education Status,Less Than High School,17070
2008,Medi-Cal,Cesarean-Primary,Maternal Education Status,Some College or Associate's Degree,8791
2008,Medi-Cal,Cesarean-Primary,Maternal Education Status,Unknown Education,1353
2008,Medi-Cal,Cesarean-Primary,Maternal Nativity,Foreign-Born,21213
2008,Medi-Cal,Cesarean-Primary,Maternal Nativity,U.S.-Born,22758
2008,Medi-Cal,Cesarean-Primary,Maternal Nativity,Unknown Nativity,20
2008,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,African-American,3876
2008,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,American Indian/Alaska Native,187
2008,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Asian,2239
2008,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,240
2008,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hispanic,29727
2008,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Other/Unknown Race,545
2008,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Two or More Race Categories,718
2008,Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,White,6459
2008,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 17 and Younger,185
2008,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 18-19,1127
2008,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 20-24,9691
2008,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 25-29,12579
2008,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 30-34,9746
2008,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 35 and Older,6751
2008,Medi-Cal,Cesarean-Repeat,Maternal Age Group,Invalid Age,0
2008,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Bachelor's Degree or Higher,1301
2008,Medi-Cal,Cesarean-Repeat,Maternal Education Status,High School Graduate,12050
2008,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Less Than High School,19055
2008,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Some College or Associate's Degree,6625
2008,Medi-Cal,Cesarean-Repeat,Maternal Education Status,Unknown Education,1048
2008,Medi-Cal,Cesarean-Repeat,Maternal Nativity,Foreign-Born,23320
2008,Medi-Cal,Cesarean-Repeat,Maternal Nativity,U.S.-Born,16750
2008,Medi-Cal,Cesarean-Repeat,Maternal Nativity,Unknown Nativity,9
2008,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,African-American,2930
2008,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,American Indian/Alaska Native,212
2008,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Asian,1557
2008,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,175
2008,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Hispanic,29730
2008,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Other/Unknown Race,382
2008,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,Two or More Race Categories,470
2008,Medi-Cal,Cesarean-Repeat,Maternal Race/Ethnicity,White,4623
2008,Medi-Cal,Vaginal,Maternal Age Group,Ages 17 and Younger,9947
2008,Medi-Cal,Vaginal,Maternal Age Group,Ages 18-19,21218
2008,Medi-Cal,Vaginal,Maternal Age Group,Ages 20-24,60801
2008,Medi-Cal,Vaginal,Maternal Age Group,Ages 25-29,46556
2008,Medi-Cal,Vaginal,Maternal Age Group,Ages 30-34,26467
2008,Medi-Cal,Vaginal,Maternal Age Group,Ages 35 and Older,14649
2008,Medi-Cal,Vaginal,Maternal Age Group,Invalid Age,0
2008,Medi-Cal,Vaginal,Maternal Education Status,Bachelor's Degree or Higher,5704
2008,Medi-Cal,Vaginal,Maternal Education Status,High School Graduate,59312
2008,Medi-Cal,Vaginal,Maternal Education Status,Less Than High School,78566
2008,Medi-Cal,Vaginal,Maternal Education Status,Some College or Associate's Degree,30862
2008,Medi-Cal,Vaginal,Maternal Education Status,Unknown Education,5194
2008,Medi-Cal,Vaginal,Maternal Nativity,Foreign-Born,93075
2008,Medi-Cal,Vaginal,Maternal Nativity,U.S.-Born,86492
2008,Medi-Cal,Vaginal,Maternal Nativity,Unknown Nativity,71
2008,Medi-Cal,Vaginal,Maternal Race/Ethnicity,African-American,11613
2008,Medi-Cal,Vaginal,Maternal Race/Ethnicity,American Indian/Alaska Native,758
2008,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Asian,9891
2008,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,839
2008,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Hispanic,127886
2008,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Other/Unknown Race,1772
2008,Medi-Cal,Vaginal,Maternal Race/Ethnicity,Two or More Race Categories,2550
2008,Medi-Cal,Vaginal,Maternal Race/Ethnicity,White,24329
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 17 and Younger,4
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 18-19,36
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 20-24,369
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 25-29,496
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 30-34,392
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Ages 35 and Older,256
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Age Group,Invalid Age,0
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Bachelor's Degree or Higher,52
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,High School Graduate,441
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Less Than High School,762
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Some College or Associate's Degree,268
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Education Status,Unknown Education,30
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Foreign-Born,974
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,U.S.-Born,579
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Nativity,Unknown Nativity,0
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,African-American,139
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,American Indian/Alaska Native,6
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Asian,106
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,12
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Hispanic,1070
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Other/Unknown Race,4
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,Two or More Race Categories,17
2008,Medi-Cal,Vaginal After Previous Cesarean,Maternal Race/Ethnicity,White,199
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 17 and Younger,899
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 18-19,1288
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 20-24,6737
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 25-29,14306
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 30-34,17504
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Ages 35 and Older,16448
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Age Group,Invalid Age,10
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Bachelor's Degree or Higher,25839
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,High School Graduate,10151
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Less Than High School,4111
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Some College or Associate's Degree,14804
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Education Status,Unknown Education,2287
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,Foreign-Born,21288
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,U.S.-Born,35870
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Nativity,Unknown Nativity,34
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,African-American,2548
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,American Indian/Alaska Native,137
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Asian,10902
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,214
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Hispanic,17973
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Other/Unknown Race,1606
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,Two or More Race Categories,1235
2008,Non-Medi-Cal,Cesarean-Primary,Maternal Race/Ethnicity,White,22577
2008,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 17 and Younger,35
2008,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 18-19,182
2008,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 20-24,2541
2008,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 25-29,7900
2008,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 30-34,13035
2008,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Ages 35 and Older,14082
2008,Non-Medi-Cal,Cesarean-Repeat,Maternal Age Group,Invalid Age,6
2008,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Bachelor's Degree or Higher,14957
2008,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,High School Graduate,7706
2008,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Less Than High School,3983
2008,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Some College or Associate's Degree,9892
2008,Non-Medi-Cal,Cesarean-Repeat,Maternal Education Status,Unknown Education,1243
2008,Non-Medi-Cal,Cesarean-Repeat,Maternal Nativity,Foreign-Born,15547
