Calendar Year,Payer,Birthweight Range,Grouper,Birth Characteristic,Number of Births
2007,Medi-Cal,Unknown Birthweight,Maternal Education Status,Less Than High School,3
2007,Medi-Cal,Unknown Birthweight,Maternal Education Status,High School Graduate,10
2007,Medi-Cal,Unknown Birthweight,Maternal Education Status,Some College or Associate's Degree,2
2007,Medi-Cal,Unknown Birthweight,Maternal Education Status,Bachelor's Degree or Higher,0
2007,Medi-Cal,Unknown Birthweight,Maternal Education Status,Unknown Education,2
2007,Medi-Cal,Unknown Birthweight,Maternal Nativity,Foreign-Born,9
2007,Medi-Cal,Unknown Birthweight,Maternal Nativity,U.S.-Born,7
2007,Medi-Cal,Unknown Birthweight,Maternal Nativity,Unknown Nativity,1
2007,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,African-American,2
2007,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,0
2007,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Asian,0
2007,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,0
2007,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hispanic,12
2007,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,0
2007,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,0
2007,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,White,3
2007,Medi-Cal,Unknown Birthweight,Parity Status,First-Born,6
2007,Medi-Cal,Unknown Birthweight,Parity Status,One Previous Birth,8
2007,Medi-Cal,Unknown Birthweight,Parity Status,Two or More Previous Births,3
2007,Medi-Cal,Unknown Birthweight,Parity Status,Unknown Parity,0
2007,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Underweight,0
2007,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Normal Weight,3
2007,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,3
2007,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Unknown Weight,11
2007,Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Multiple Birth,2
2007,Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Singleton Birth,15
2007,Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Smoker,1
2007,Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Non-Smoker,14
2007,Medi-Cal,Unknown Birthweight,Smoking Status,Unknown Smoking Status,2
2007,Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Substance User,1
2007,Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Non-Substance User,16
2007,Medi-Cal,Unknown Birthweight,Substance Use Status,Unknown Substance Use Status,0
2007,Non-Medi-Cal,Low Birthweight,Diabetes Status,Diabetes Diagnosis,2094
2007,Non-Medi-Cal,Low Birthweight,Diabetes Status,No Diabetes Diagnosis,16022
2007,Non-Medi-Cal,Low Birthweight,Diabetes Status,Unknown Diabetes Status,2404
2007,Non-Medi-Cal,Low Birthweight,Hypertension Status,Hypertension Diagnosis,4313
2007,Non-Medi-Cal,Low Birthweight,Hypertension Status,No Hypertension Diagnosis,13803
2007,Non-Medi-Cal,Low Birthweight,Hypertension Status,Unknown Hypertension Status,2404
2007,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 17 and Younger,443
2007,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 18-19,575
2007,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 20-24,2447
2007,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 25-29,4824
2007,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 30-34,6090
2007,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Ages 35 and Older,6134
2007,Non-Medi-Cal,Low Birthweight,Maternal Age Group,Invalid Age,7
2007,Non-Medi-Cal,Low Birthweight,Maternal Education Status,Less Than High School,2237
2007,Non-Medi-Cal,Low Birthweight,Maternal Education Status,High School Graduate,4035
2007,Non-Medi-Cal,Low Birthweight,Maternal Education Status,Some College or Associate's Degree,5073
2007,Non-Medi-Cal,Low Birthweight,Maternal Education Status,Bachelor's Degree or Higher,8204
2007,Non-Medi-Cal,Low Birthweight,Maternal Education Status,Unknown Education,971
2007,Non-Medi-Cal,Low Birthweight,Maternal Nativity,Foreign-Born,7899
2007,Non-Medi-Cal,Low Birthweight,Maternal Nativity,U.S.-Born,12590
2007,Non-Medi-Cal,Low Birthweight,Maternal Nativity,Unknown Nativity,31
2007,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,African-American,1308
2007,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,60
2007,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Asian,4009
2007,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,96
2007,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Hispanic,6770
2007,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,620
2007,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,445
2007,Non-Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,White,7212
2007,Non-Medi-Cal,Low Birthweight,Parity Status,First-Born,8960
2007,Non-Medi-Cal,Low Birthweight,Parity Status,One Previous Birth,6158
2007,Non-Medi-Cal,Low Birthweight,Parity Status,Two or More Previous Births,5362
2007,Non-Medi-Cal,Low Birthweight,Parity Status,Unknown Parity,40
2007,Non-Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Underweight,881
2007,Non-Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Normal Weight,7281
2007,Non-Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,5184
2007,Non-Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Unknown Weight,7174
2007,Non-Medi-Cal,Low Birthweight,Single/Multiple Birth,Multiple Birth,6512
2007,Non-Medi-Cal,Low Birthweight,Single/Multiple Birth,Singleton Birth,14008
2007,Non-Medi-Cal,Low Birthweight,Smoking Status,Maternal Smoker,333
2007,Non-Medi-Cal,Low Birthweight,Smoking Status,Maternal Non-Smoker,17507
2007,Non-Medi-Cal,Low Birthweight,Smoking Status,Unknown Smoking Status,2680
2007,Non-Medi-Cal,Low Birthweight,Substance Use Status,Maternal Substance User,223
2007,Non-Medi-Cal,Low Birthweight,Substance Use Status,Maternal Non-Substance User,17893
2007,Non-Medi-Cal,Low Birthweight,Substance Use Status,Unknown Substance Use Status,2404
2007,Non-Medi-Cal,Normal Birthweight,Diabetes Status,Diabetes Diagnosis,19154
2007,Non-Medi-Cal,Normal Birthweight,Diabetes Status,No Diabetes Diagnosis,232044
2007,Non-Medi-Cal,Normal Birthweight,Diabetes Status,Unknown Diabetes Status,20786
2007,Non-Medi-Cal,Normal Birthweight,Hypertension Status,Hypertension Diagnosis,14163
2007,Non-Medi-Cal,Normal Birthweight,Hypertension Status,No Hypertension Diagnosis,237035
2007,Non-Medi-Cal,Normal Birthweight,Hypertension Status,Unknown Hypertension Status,20786
2007,Non-Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 17 and Younger,4676
2007,Non-Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 18-19,6724
2007,Non-Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 20-24,36725
2007,Non-Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 25-29,74112
2007,Non-Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 30-34,85057
2007,Non-Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 35 and Older,64665
2007,Non-Medi-Cal,Normal Birthweight,Maternal Age Group,Invalid Age,25
2007,Non-Medi-Cal,Normal Birthweight,Maternal Education Status,Less Than High School,27929
2007,Non-Medi-Cal,Normal Birthweight,Maternal Education Status,High School Graduate,57199
2007,Non-Medi-Cal,Normal Birthweight,Maternal Education Status,Some College or Associate's Degree,69697
2007,Non-Medi-Cal,Normal Birthweight,Maternal Education Status,Bachelor's Degree or Higher,107899
2007,Non-Medi-Cal,Normal Birthweight,Maternal Education Status,Unknown Education,9260
2007,Non-Medi-Cal,Normal Birthweight,Maternal Nativity,Foreign-Born,104302
2007,Non-Medi-Cal,Normal Birthweight,Maternal Nativity,U.S.-Born,167499
2007,Non-Medi-Cal,Normal Birthweight,Maternal Nativity,Unknown Nativity,183
2007,Non-Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,African-American,9663
2007,Non-Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,774
2007,Non-Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Asian,47846
2007,Non-Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,1231
2007,Non-Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Hispanic,95881
2007,Non-Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,5356
2007,Non-Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,5410
2007,Non-Medi-Cal,Normal Birthweight,Maternal Race/Ethnicity,White,105823
2007,Non-Medi-Cal,Normal Birthweight,Parity Status,First-Born,113261
2007,Non-Medi-Cal,Normal Birthweight,Parity Status,One Previous Birth,91782
2007,Non-Medi-Cal,Normal Birthweight,Parity Status,Two or More Previous Births,66586
2007,Non-Medi-Cal,Normal Birthweight,Parity Status,Unknown Parity,355
2007,Non-Medi-Cal,Normal Birthweight,Pre-Pregnancy Weight,Underweight,9891
2007,Non-Medi-Cal,Normal Birthweight,Pre-Pregnancy Weight,Normal Weight,126717
2007,Non-Medi-Cal,Normal Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,89332
2007,Non-Medi-Cal,Normal Birthweight,Pre-Pregnancy Weight,Unknown Weight,46044
2007,Non-Medi-Cal,Normal Birthweight,Single/Multiple Birth,Multiple Birth,5033
2007,Non-Medi-Cal,Normal Birthweight,Single/Multiple Birth,Singleton Birth,266951
2007,Non-Medi-Cal,Normal Birthweight,Smoking Status,Maternal Smoker,3239
2007,Non-Medi-Cal,Normal Birthweight,Smoking Status,Maternal Non-Smoker,245065
2007,Non-Medi-Cal,Normal Birthweight,Smoking Status,Unknown Smoking Status,23680
2007,Non-Medi-Cal,Normal Birthweight,Substance Use Status,Maternal Substance User,1245
2007,Non-Medi-Cal,Normal Birthweight,Substance Use Status,Maternal Non-Substance User,249953
2007,Non-Medi-Cal,Normal Birthweight,Substance Use Status,Unknown Substance Use Status,20786
2007,Non-Medi-Cal,Unknown Birthweight,Diabetes Status,Diabetes Diagnosis,1
2007,Non-Medi-Cal,Unknown Birthweight,Diabetes Status,No Diabetes Diagnosis,19
2007,Non-Medi-Cal,Unknown Birthweight,Diabetes Status,Unknown Diabetes Status,18
2007,Non-Medi-Cal,Unknown Birthweight,Hypertension Status,Hypertension Diagnosis,3
2007,Non-Medi-Cal,Unknown Birthweight,Hypertension Status,No Hypertension Diagnosis,17
2007,Non-Medi-Cal,Unknown Birthweight,Hypertension Status,Unknown Hypertension Status,18
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 17 and Younger,0
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 18-19,1
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 20-24,4
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 25-29,14
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 30-34,14
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 35 and Older,5
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Invalid Age,0
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,Less Than High School,4
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,High School Graduate,7
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,Some College or Associate's Degree,10
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,Bachelor's Degree or Higher,11
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,Unknown Education,6
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Nativity,Foreign-Born,13
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Nativity,U.S.-Born,23
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Nativity,Unknown Nativity,2
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,African-American,5
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,2
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Asian,5
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,0
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hispanic,11
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,4
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,1
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,White,10
2007,Non-Medi-Cal,Unknown Birthweight,Parity Status,First-Born,23
2007,Non-Medi-Cal,Unknown Birthweight,Parity Status,One Previous Birth,6
2007,Non-Medi-Cal,Unknown Birthweight,Parity Status,Two or More Previous Births,8
2007,Non-Medi-Cal,Unknown Birthweight,Parity Status,Unknown Parity,1
2007,Non-Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Underweight,0
2007,Non-Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Normal Weight,2
2007,Non-Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,9
2007,Non-Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Unknown Weight,27
2007,Non-Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Multiple Birth,9
2007,Non-Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Singleton Birth,29
2007,Non-Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Smoker,1
2007,Non-Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Non-Smoker,16
2007,Non-Medi-Cal,Unknown Birthweight,Smoking Status,Unknown Smoking Status,21
2007,Non-Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Substance User,2
2007,Non-Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Non-Substance User,18
2007,Non-Medi-Cal,Unknown Birthweight,Substance Use Status,Unknown Substance Use Status,18
2008,Medi-Cal,Low Birthweight,Diabetes Status,Diabetes Diagnosis,1551
2008,Medi-Cal,Low Birthweight,Diabetes Status,No Diabetes Diagnosis,16126
2008,Medi-Cal,Low Birthweight,Diabetes Status,Unknown Diabetes Status,0
2008,Medi-Cal,Low Birthweight,Hypertension Status,Hypertension Diagnosis,3675
2008,Medi-Cal,Low Birthweight,Hypertension Status,No Hypertension Diagnosis,14002
2008,Medi-Cal,Low Birthweight,Hypertension Status,Unknown Hypertension Status,0
2008,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 17 and Younger,928
2008,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 18-19,2003
2008,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 20-24,5319
2008,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 25-29,4300
2008,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 30-34,2844
2008,Medi-Cal,Low Birthweight,Maternal Age Group,Ages 35 and Older,2283
2008,Medi-Cal,Low Birthweight,Maternal Age Group,Invalid Age,0
2008,Medi-Cal,Low Birthweight,Maternal Education Status,Less Than High School,7161
2008,Medi-Cal,Low Birthweight,Maternal Education Status,High School Graduate,6018
2008,Medi-Cal,Low Birthweight,Maternal Education Status,Some College or Associate's Degree,3328
2008,Medi-Cal,Low Birthweight,Maternal Education Status,Bachelor's Degree or Higher,551
2008,Medi-Cal,Low Birthweight,Maternal Education Status,Unknown Education,619
2008,Medi-Cal,Low Birthweight,Maternal Nativity,Foreign-Born,7801
2008,Medi-Cal,Low Birthweight,Maternal Nativity,U.S.-Born,9871
2008,Medi-Cal,Low Birthweight,Maternal Nativity,Unknown Nativity,5
2008,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,African-American,2361
2008,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,87
2008,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Asian,1019
2008,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,91
2008,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Hispanic,11162
2008,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,259
2008,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,287
2008,Medi-Cal,Low Birthweight,Maternal Race/Ethnicity,White,2411
2008,Medi-Cal,Low Birthweight,Parity Status,First-Born,6637
2008,Medi-Cal,Low Birthweight,Parity Status,One Previous Birth,4412
2008,Medi-Cal,Low Birthweight,Parity Status,Two or More Previous Births,6600
2008,Medi-Cal,Low Birthweight,Parity Status,Unknown Parity,28
2008,Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Underweight,890
2008,Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Normal Weight,6334
2008,Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,6486
2008,Medi-Cal,Low Birthweight,Pre-Pregnancy Weight,Unknown Weight,3967
2008,Medi-Cal,Low Birthweight,Single/Multiple Birth,Multiple Birth,3382
2008,Medi-Cal,Low Birthweight,Single/Multiple Birth,Singleton Birth,14295
2008,Medi-Cal,Low Birthweight,Smoking Status,Maternal Smoker,1013
2008,Medi-Cal,Low Birthweight,Smoking Status,Maternal Non-Smoker,16121
2008,Medi-Cal,Low Birthweight,Smoking Status,Unknown Smoking Status,543
2008,Medi-Cal,Low Birthweight,Substance Use Status,Maternal Substance User,663
2008,Medi-Cal,Low Birthweight,Substance Use Status,Maternal Non-Substance User,17014
2008,Medi-Cal,Low Birthweight,Substance Use Status,Unknown Substance Use Status,0
2008,Medi-Cal,Normal Birthweight,Diabetes Status,Diabetes Diagnosis,17358
2008,Medi-Cal,Normal Birthweight,Diabetes Status,No Diabetes Diagnosis,230191
2008,Medi-Cal,Normal Birthweight,Diabetes Status,Unknown Diabetes Status,0
2008,Medi-Cal,Normal Birthweight,Hypertension Status,Hypertension Diagnosis,13734
2008,Medi-Cal,Normal Birthweight,Hypertension Status,No Hypertension Diagnosis,233815
2008,Medi-Cal,Normal Birthweight,Hypertension Status,Unknown Hypertension Status,0
2008,Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 17 and Younger,11604
2008,Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 18-19,25715
2008,Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 20-24,80000
2008,Medi-Cal,Normal Birthweight,Maternal Age Group,Ages 25-29,65456
