Calendar Year,Aid Category,Grouper ,Birth Characteristic,Number of Births 
2007,Blind/Disabled,Substance Use Status,Unknown Substance Use Status,0
2007,Blind/Disabled,Very Low Birthweight Status,"Birthweight >=1,500g",4093
2007,Blind/Disabled,Very Low Birthweight Status,Unknown Birthweight,0
2007,Blind/Disabled,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",109
2007,Blind/Disabled,Very Preterm Status,Gestation >=32 Weeks,3705
2007,Blind/Disabled,Very Preterm Status,Unknown Gestation,353
2007,Blind/Disabled,Very Preterm Status,Very Preterm Delivery (<32 Weeks),144
2007,Families,Birthweight Range,Low Birthweight,8597
2007,Families,Birthweight Range,Normal Birthweight,105442
2007,Families,Birthweight Range,Unknown Birthweight,9
2007,Families,Diabetes Status,Diabetes Diagnosis,6681
2007,Families,Diabetes Status,No Diabetes Diagnosis,107367
2007,Families,Diabetes Status,Unknown Diabetes Status,0
2007,Families,Hypertension Status,Hypertension Diagnosis,8289
2007,Families,Hypertension Status,No Hypertension Diagnosis,105759
2007,Families,Hypertension Status,Unknown Hypertension Status,0
2007,Families,Length of Gestation,Normal Gestation (>=37 Weeks),94094
2007,Families,Length of Gestation,Preterm Delivery (<37 Weeks),13774
2007,Families,Length of Gestation,Unknown Gestation,6180
2007,Families,Method of Delivery,Cesarean-Primary,19018
2007,Families,Method of Delivery,Cesarean-Repeat,16474
2007,Families,Method of Delivery,Vaginal,77941
2007,Families,Method of Delivery,Vaginal After Previous Cesarean,615
2007,Families,Prenatal Care Initiation,First Trimester Initiation,80914
2007,Families,Prenatal Care Initiation,No Prenatal Care,1181
2007,Families,Prenatal Care Initiation,Second Trimester Initiation,23684
2007,Families,Prenatal Care Initiation,Third Trimester Initiation,4999
2007,Families,Prenatal Care Initiation,Unknown Prenatal Care,3270
2007,Families,Pre-Pregnancy Weight,Normal Weight,44041
2007,Families,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,50347
2007,Families,Pre-Pregnancy Weight,Underweight,4570
2007,Families,Pre-Pregnancy Weight,Unknown Weight,15090
2007,Families,Smoking Status,Maternal Non-Smoker,102652
2007,Families,Smoking Status,Maternal Smoker,8159
2007,Families,Smoking Status,Unknown Smoking Status,3237
2007,Families,Substance Use Status,Maternal Non-Substance User,110353
2007,Families,Substance Use Status,Maternal Substance User,3695
2007,Families,Substance Use Status,Unknown Substance Use Status,0
2007,Families,Very Low Birthweight Status,"Birthweight >=1,500g",112585
2007,Families,Very Low Birthweight Status,Unknown Birthweight,9
2007,Families,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1454
2007,Families,Very Preterm Status,Gestation >=32 Weeks,105683
2007,Families,Very Preterm Status,Unknown Gestation,6180
2007,Families,Very Preterm Status,Very Preterm Delivery (<32 Weeks),2185
2007,Medically Indigent Child & Minor Consent,Birthweight Range,Low Birthweight,499
2007,Medically Indigent Child & Minor Consent,Birthweight Range,Normal Birthweight,6729
2007,Medically Indigent Child & Minor Consent,Birthweight Range,Unknown Birthweight,1
2007,Medically Indigent Child & Minor Consent,Diabetes Status,Diabetes Diagnosis,140
2007,Medically Indigent Child & Minor Consent,Diabetes Status,No Diabetes Diagnosis,7089
2007,Medically Indigent Child & Minor Consent,Diabetes Status,Unknown Diabetes Status,0
2007,Medically Indigent Child & Minor Consent,Hypertension Status,Hypertension Diagnosis,574
2007,Medically Indigent Child & Minor Consent,Hypertension Status,No Hypertension Diagnosis,6655
2007,Medically Indigent Child & Minor Consent,Hypertension Status,Unknown Hypertension Status,0
2007,Medically Indigent Child & Minor Consent,Length of Gestation,Normal Gestation (>=37 Weeks),6063
2007,Medically Indigent Child & Minor Consent,Length of Gestation,Preterm Delivery (<37 Weeks),853
2007,Medically Indigent Child & Minor Consent,Length of Gestation,Unknown Gestation,313
2007,Medically Indigent Child & Minor Consent,Method of Delivery,Cesarean-Primary,1491
2007,Medically Indigent Child & Minor Consent,Method of Delivery,Cesarean-Repeat,127
2007,Medically Indigent Child & Minor Consent,Method of Delivery,Vaginal,5608
2007,Medically Indigent Child & Minor Consent,Method of Delivery,Vaginal After Previous Cesarean,3
2007,Medically Indigent Child & Minor Consent,Prenatal Care Initiation,First Trimester Initiation,4889
2007,Medically Indigent Child & Minor Consent,Prenatal Care Initiation,No Prenatal Care,47
2007,Medically Indigent Child & Minor Consent,Prenatal Care Initiation,Second Trimester Initiation,1771
2007,Medically Indigent Child & Minor Consent,Prenatal Care Initiation,Third Trimester Initiation,361
2007,Medically Indigent Child & Minor Consent,Prenatal Care Initiation,Unknown Prenatal Care,161
2007,Medically Indigent Child & Minor Consent,Pre-Pregnancy Weight,Normal Weight,3764
2007,Medically Indigent Child & Minor Consent,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,2141
2007,Medically Indigent Child & Minor Consent,Pre-Pregnancy Weight,Underweight,438
2007,Medically Indigent Child & Minor Consent,Pre-Pregnancy Weight,Unknown Weight,886
2007,Medically Indigent Child & Minor Consent,Smoking Status,Maternal Non-Smoker,6844
2007,Medically Indigent Child & Minor Consent,Smoking Status,Maternal Smoker,158
2007,Medically Indigent Child & Minor Consent,Smoking Status,Unknown Smoking Status,227
2007,Medically Indigent Child & Minor Consent,Substance Use Status,Maternal Non-Substance User,7151
2007,Medically Indigent Child & Minor Consent,Substance Use Status,Maternal Substance User,78
2007,Medically Indigent Child & Minor Consent,Substance Use Status,Unknown Substance Use Status,0
2007,Medically Indigent Child & Minor Consent,Very Low Birthweight Status,"Birthweight >=1,500g",7118
2007,Medically Indigent Child & Minor Consent,Very Low Birthweight Status,Unknown Birthweight,1
2007,Medically Indigent Child & Minor Consent,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",110
2007,Medically Indigent Child & Minor Consent,Very Preterm Status,Gestation >=32 Weeks,6759
2007,Medically Indigent Child & Minor Consent,Very Preterm Status,Unknown Gestation,313
2007,Medically Indigent Child & Minor Consent,Very Preterm Status,Very Preterm Delivery (<32 Weeks),157
2007,Other,Birthweight Range,Low Birthweight,17
2007,Other,Birthweight Range,Normal Birthweight,209
2007,Other,Birthweight Range,Unknown Birthweight,0
2007,Other,Diabetes Status,Diabetes Diagnosis,7
2007,Other,Diabetes Status,No Diabetes Diagnosis,219
2007,Other,Diabetes Status,Unknown Diabetes Status,0
2007,Other,Hypertension Status,Hypertension Diagnosis,8
2007,Other,Hypertension Status,No Hypertension Diagnosis,218
2007,Other,Hypertension Status,Unknown Hypertension Status,0
2007,Other,Length of Gestation,Normal Gestation (>=37 Weeks),193
2007,Other,Length of Gestation,Preterm Delivery (<37 Weeks),25
2007,Other,Length of Gestation,Unknown Gestation,8
2007,Other,Method of Delivery,Cesarean-Primary,44
2007,Other,Method of Delivery,Cesarean-Repeat,18
2007,Other,Method of Delivery,Vaginal,163
2007,Other,Method of Delivery,Vaginal After Previous Cesarean,1
2007,Other,Prenatal Care Initiation,First Trimester Initiation,154
2007,Other,Prenatal Care Initiation,No Prenatal Care,0
2007,Other,Prenatal Care Initiation,Second Trimester Initiation,54
2007,Other,Prenatal Care Initiation,Third Trimester Initiation,11
2007,Other,Prenatal Care Initiation,Unknown Prenatal Care,7
2007,Other,Pre-Pregnancy Weight,Normal Weight,107
2007,Other,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,78
2007,Other,Pre-Pregnancy Weight,Underweight,10
2007,Other,Pre-Pregnancy Weight,Unknown Weight,31
2007,Other,Smoking Status,Maternal Non-Smoker,215
2007,Other,Smoking Status,Maternal Smoker,6
2007,Other,Smoking Status,Unknown Smoking Status,5
2007,Other,Substance Use Status,Maternal Non-Substance User,223
2007,Other,Substance Use Status,Maternal Substance User,3
2007,Other,Substance Use Status,Unknown Substance Use Status,0
2007,Other,Very Low Birthweight Status,"Birthweight >=1,500g",221
2007,Other,Very Low Birthweight Status,Unknown Birthweight,0
2007,Other,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",5
2007,Other,Very Preterm Status,Gestation >=32 Weeks,215
2007,Other,Very Preterm Status,Unknown Gestation,8
2007,Other,Very Preterm Status,Very Preterm Delivery (<32 Weeks),3
2007,Pregnancy Pathway (Not Undocumented),Birthweight Range,Low Birthweight,2364
2007,Pregnancy Pathway (Not Undocumented),Birthweight Range,Normal Birthweight,34212
2007,Pregnancy Pathway (Not Undocumented),Birthweight Range,Unknown Birthweight,2
2007,Pregnancy Pathway (Not Undocumented),Diabetes Status,Diabetes Diagnosis,2742
2007,Pregnancy Pathway (Not Undocumented),Diabetes Status,No Diabetes Diagnosis,33836
2007,Pregnancy Pathway (Not Undocumented),Diabetes Status,Unknown Diabetes Status,0
2007,Pregnancy Pathway (Not Undocumented),Hypertension Status,Hypertension Diagnosis,2564
2007,Pregnancy Pathway (Not Undocumented),Hypertension Status,No Hypertension Diagnosis,34014
2007,Pregnancy Pathway (Not Undocumented),Hypertension Status,Unknown Hypertension Status,0
2007,Pregnancy Pathway (Not Undocumented),Length of Gestation,Normal Gestation (>=37 Weeks),31391
2007,Pregnancy Pathway (Not Undocumented),Length of Gestation,Preterm Delivery (<37 Weeks),3717
2007,Pregnancy Pathway (Not Undocumented),Length of Gestation,Unknown Gestation,1470
2007,Pregnancy Pathway (Not Undocumented),Method of Delivery,Cesarean-Primary,6799
2007,Pregnancy Pathway (Not Undocumented),Method of Delivery,Cesarean-Repeat,4455
2007,Pregnancy Pathway (Not Undocumented),Method of Delivery,Vaginal,25131
2007,Pregnancy Pathway (Not Undocumented),Method of Delivery,Vaginal After Previous Cesarean,193
2007,Pregnancy Pathway (Not Undocumented),Prenatal Care Initiation,First Trimester Initiation,27980
2007,Pregnancy Pathway (Not Undocumented),Prenatal Care Initiation,No Prenatal Care,150
2007,Pregnancy Pathway (Not Undocumented),Prenatal Care Initiation,Second Trimester Initiation,6502
2007,Pregnancy Pathway (Not Undocumented),Prenatal Care Initiation,Third Trimester Initiation,1144
2007,Pregnancy Pathway (Not Undocumented),Prenatal Care Initiation,Unknown Prenatal Care,802
2007,Pregnancy Pathway (Not Undocumented),Pre-Pregnancy Weight,Normal Weight,14701
2007,Pregnancy Pathway (Not Undocumented),Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,15992
2007,Pregnancy Pathway (Not Undocumented),Pre-Pregnancy Weight,Underweight,1426
2007,Pregnancy Pathway (Not Undocumented),Pre-Pregnancy Weight,Unknown Weight,4459
2007,Pregnancy Pathway (Not Undocumented),Smoking Status,Maternal Non-Smoker,34271
2007,Pregnancy Pathway (Not Undocumented),Smoking Status,Maternal Smoker,1206
2007,Pregnancy Pathway (Not Undocumented),Smoking Status,Unknown Smoking Status,1101
2007,Pregnancy Pathway (Not Undocumented),Substance Use Status,Maternal Non-Substance User,36194
2007,Pregnancy Pathway (Not Undocumented),Substance Use Status,Maternal Substance User,384
2007,Pregnancy Pathway (Not Undocumented),Substance Use Status,Unknown Substance Use Status,0
2007,Pregnancy Pathway (Not Undocumented),Very Low Birthweight Status,"Birthweight >=1,500g",36161
2007,Pregnancy Pathway (Not Undocumented),Very Low Birthweight Status,Unknown Birthweight,2
2007,Pregnancy Pathway (Not Undocumented),Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",415
2007,Pregnancy Pathway (Not Undocumented),Very Preterm Status,Gestation >=32 Weeks,34583
2007,Pregnancy Pathway (Not Undocumented),Very Preterm Status,Unknown Gestation,1470
2007,Pregnancy Pathway (Not Undocumented),Very Preterm Status,Very Preterm Delivery (<32 Weeks),525
2007,Undocumented,Birthweight Range,Low Birthweight,5776
2007,Undocumented,Birthweight Range,Normal Birthweight,99379
2007,Undocumented,Birthweight Range,Unknown Birthweight,5
2007,Undocumented,Diabetes Status,Diabetes Diagnosis,8883
2007,Undocumented,Diabetes Status,No Diabetes Diagnosis,96277
2007,Undocumented,Diabetes Status,Unknown Diabetes Status,0
2007,Undocumented,Hypertension Status,Hypertension Diagnosis,5233
2007,Undocumented,Hypertension Status,No Hypertension Diagnosis,99927
2007,Undocumented,Hypertension Status,Unknown Hypertension Status,0
2007,Undocumented,Length of Gestation,Normal Gestation (>=37 Weeks),91540
2007,Undocumented,Length of Gestation,Preterm Delivery (<37 Weeks),10489
2007,Undocumented,Length of Gestation,Unknown Gestation,3131
2007,Undocumented,Method of Delivery,Cesarean-Primary,15832
2007,Undocumented,Method of Delivery,Cesarean-Repeat,17799
2007,Undocumented,Method of Delivery,Vaginal,70855
2007,Undocumented,Method of Delivery,Vaginal After Previous Cesarean,674
2007,Undocumented,Prenatal Care Initiation,First Trimester Initiation,82575
2007,Undocumented,Prenatal Care Initiation,No Prenatal Care,321
2007,Undocumented,Prenatal Care Initiation,Second Trimester Initiation,16619
2007,Undocumented,Prenatal Care Initiation,Third Trimester Initiation,3688
2007,Undocumented,Prenatal Care Initiation,Unknown Prenatal Care,1957
2007,Undocumented,Pre-Pregnancy Weight,Normal Weight,39197
2007,Undocumented,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,42324
2007,Undocumented,Pre-Pregnancy Weight,Underweight,3005
2007,Undocumented,Pre-Pregnancy Weight,Unknown Weight,20634
2007,Undocumented,Smoking Status,Maternal Non-Smoker,100819
2007,Undocumented,Smoking Status,Maternal Smoker,332
2007,Undocumented,Smoking Status,Unknown Smoking Status,4009
2007,Undocumented,Substance Use Status,Maternal Non-Substance User,104950
2007,Undocumented,Substance Use Status,Maternal Substance User,210
2007,Undocumented,Substance Use Status,Unknown Substance Use Status,0
2007,Undocumented,Very Low Birthweight Status,"Birthweight >=1,500g",104240
2007,Undocumented,Very Low Birthweight Status,Unknown Birthweight,5
2007,Undocumented,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",915
2007,Undocumented,Very Preterm Status,Gestation >=32 Weeks,100666
2007,Undocumented,Very Preterm Status,Unknown Gestation,3131
2007,Undocumented,Very Preterm Status,Very Preterm Delivery (<32 Weeks),1363
2008,Adoption/Foster Care,Birthweight Range,Low Birthweight,77
2008,Adoption/Foster Care,Birthweight Range,Normal Birthweight,827
2008,Adoption/Foster Care,Birthweight Range,Unknown Birthweight,0
2008,Adoption/Foster Care,Diabetes Status,Diabetes Diagnosis,14
2008,Adoption/Foster Care,Diabetes Status,No Diabetes Diagnosis,890
2008,Adoption/Foster Care,Diabetes Status,Unknown Diabetes Status,0
2008,Adoption/Foster Care,Hypertension Status,Hypertension Diagnosis,77
2008,Adoption/Foster Care,Hypertension Status,No Hypertension Diagnosis,827
2008,Adoption/Foster Care,Hypertension Status,Unknown Hypertension Status,0
2008,Adoption/Foster Care,Length of Gestation,Normal Gestation (>=37 Weeks),745
2008,Adoption/Foster Care,Length of Gestation,Preterm Delivery (<37 Weeks),103
2008,Adoption/Foster Care,Length of Gestation,Unknown Gestation,56
2008,Adoption/Foster Care,Method of Delivery,Cesarean-Primary,226
2008,Adoption/Foster Care,Method of Delivery,Cesarean-Repeat,18
2008,Adoption/Foster Care,Method of Delivery,Vaginal,660
2008,Adoption/Foster Care,Method of Delivery,Vaginal After Previous Cesarean,0
2008,Adoption/Foster Care,Prenatal Care Initiation,First Trimester Initiation,629
2008,Adoption/Foster Care,Prenatal Care Initiation,No Prenatal Care,6
2008,Adoption/Foster Care,Prenatal Care Initiation,Second Trimester Initiation,179
2008,Adoption/Foster Care,Prenatal Care Initiation,Third Trimester Initiation,56
2008,Adoption/Foster Care,Prenatal Care Initiation,Unknown Prenatal Care,34
2008,Adoption/Foster Care,Pre-Pregnancy Weight,Normal Weight,449
2008,Adoption/Foster Care,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,278
2008,Adoption/Foster Care,Pre-Pregnancy Weight,Underweight,43
2008,Adoption/Foster Care,Pre-Pregnancy Weight,Unknown Weight,134
2008,Adoption/Foster Care,Smoking Status,Maternal Non-Smoker,797
2008,Adoption/Foster Care,Smoking Status,Maternal Smoker,54
2008,Adoption/Foster Care,Smoking Status,Unknown Smoking Status,53
2008,Adoption/Foster Care,Substance Use Status,Maternal Non-Substance User,875
2008,Adoption/Foster Care,Substance Use Status,Maternal Substance User,29
2008,Adoption/Foster Care,Substance Use Status,Unknown Substance Use Status,0
2008,Adoption/Foster Care,Very Low Birthweight Status,"Birthweight >=1,500g",891
2008,Adoption/Foster Care,Very Low Birthweight Status,Unknown Birthweight,0
2008,Adoption/Foster Care,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",13
2008,Adoption/Foster Care,Very Preterm Status,Gestation >=32 Weeks,836
2008,Adoption/Foster Care,Very Preterm Status,Unknown Gestation,56
2008,Adoption/Foster Care,Very Preterm Status,Very Preterm Delivery (<32 Weeks),12
2008,Blind/Disabled,Birthweight Range,Low Birthweight,592
2008,Blind/Disabled,Birthweight Range,Normal Birthweight,3676
2008,Blind/Disabled,Birthweight Range,Unknown Birthweight,3
2008,Blind/Disabled,Diabetes Status,Diabetes Diagnosis,409
2008,Blind/Disabled,Diabetes Status,No Diabetes Diagnosis,3862
2008,Blind/Disabled,Diabetes Status,Unknown Diabetes Status,0
2008,Blind/Disabled,Hypertension Status,Hypertension Diagnosis,493
2008,Blind/Disabled,Hypertension Status,No Hypertension Diagnosis,3778
2008,Blind/Disabled,Hypertension Status,Unknown Hypertension Status,0
2008,Blind/Disabled,Length of Gestation,Normal Gestation (>=37 Weeks),3258
2008,Blind/Disabled,Length of Gestation,Preterm Delivery (<37 Weeks),713
2008,Blind/Disabled,Length of Gestation,Unknown Gestation,300
2008,Blind/Disabled,Method of Delivery,Cesarean-Primary,948
2008,Blind/Disabled,Method of Delivery,Cesarean-Repeat,814
2008,Blind/Disabled,Method of Delivery,Vaginal,2471
2008,Blind/Disabled,Method of Delivery,Vaginal After Previous Cesarean,38
2008,Blind/Disabled,Prenatal Care Initiation,First Trimester Initiation,3006
2008,Blind/Disabled,Prenatal Care Initiation,No Prenatal Care,62
2008,Blind/Disabled,Prenatal Care Initiation,Second Trimester Initiation,804
2008,Blind/Disabled,Prenatal Care Initiation,Third Trimester Initiation,196
2008,Blind/Disabled,Prenatal Care Initiation,Unknown Prenatal Care,203
2008,Blind/Disabled,Pre-Pregnancy Weight,Normal Weight,1390
2008,Blind/Disabled,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,2081
2008,Blind/Disabled,Pre-Pregnancy Weight,Underweight,166
2008,Blind/Disabled,Pre-Pregnancy Weight,Unknown Weight,634
2008,Blind/Disabled,Smoking Status,Maternal Non-Smoker,3566
2008,Blind/Disabled,Smoking Status,Maternal Smoker,550
2008,Blind/Disabled,Smoking Status,Unknown Smoking Status,155
2008,Blind/Disabled,Substance Use Status,Maternal Non-Substance User,3990
2008,Blind/Disabled,Substance Use Status,Maternal Substance User,281
2008,Blind/Disabled,Substance Use Status,Unknown Substance Use Status,0
2008,Blind/Disabled,Very Low Birthweight Status,"Birthweight >=1,500g",4155
2008,Blind/Disabled,Very Low Birthweight Status,Unknown Birthweight,3
2008,Blind/Disabled,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",113
2008,Blind/Disabled,Very Preterm Status,Gestation >=32 Weeks,3830
2008,Blind/Disabled,Very Preterm Status,Unknown Gestation,300
2008,Blind/Disabled,Very Preterm Status,Very Preterm Delivery (<32 Weeks),141
2008,Families,Birthweight Range,Low Birthweight,8780
2008,Families,Birthweight Range,Normal Birthweight,107252
2008,Families,Birthweight Range,Unknown Birthweight,16
2008,Families,Diabetes Status,Diabetes Diagnosis,7057
2008,Families,Diabetes Status,No Diabetes Diagnosis,108991
2008,Families,Diabetes Status,Unknown Diabetes Status,0
2008,Families,Hypertension Status,Hypertension Diagnosis,8472
2008,Families,Hypertension Status,No Hypertension Diagnosis,107576
2008,Families,Hypertension Status,Unknown Hypertension Status,0
2008,Families,Length of Gestation,Normal Gestation (>=37 Weeks),96928
2008,Families,Length of Gestation,Preterm Delivery (<37 Weeks),13630
2008,Families,Length of Gestation,Unknown Gestation,5490
2008,Families,Method of Delivery,Cesarean-Primary,19427
2008,Families,Method of Delivery,Cesarean-Repeat,17460
2008,Families,Method of Delivery,Vaginal,78543
2008,Families,Method of Delivery,Vaginal After Previous Cesarean,618
2008,Families,Prenatal Care Initiation,First Trimester Initiation,82095
2008,Families,Prenatal Care Initiation,No Prenatal Care,994
2008,Families,Prenatal Care Initiation,Second Trimester Initiation,24489
2008,Families,Prenatal Care Initiation,Third Trimester Initiation,5138
2008,Families,Prenatal Care Initiation,Unknown Prenatal Care,3332
2008,Families,Pre-Pregnancy Weight,Normal Weight,43866
2008,Families,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,53384
2008,Families,Pre-Pregnancy Weight,Underweight,4555
2008,Families,Pre-Pregnancy Weight,Unknown Weight,14243
2008,Families,Smoking Status,Maternal Non-Smoker,105654
2008,Families,Smoking Status,Maternal Smoker,7277
2008,Families,Smoking Status,Unknown Smoking Status,3117
2008,Families,Substance Use Status,Maternal Non-Substance User,112746
2008,Families,Substance Use Status,Maternal Substance User,3302
2008,Families,Substance Use Status,Unknown Substance Use Status,0
2008,Families,Very Low Birthweight Status,"Birthweight >=1,500g",114596
2008,Families,Very Low Birthweight Status,Unknown Birthweight,15
2008,Families,Very Low Birthweight Status,"Very Low Birthweight (<1,500g)",1437
2008,Families,Very Preterm Status,Gestation >=32 Weeks,108498
2008,Families,Very Preterm Status,Unknown Gestation,5490
2008,Families,Very Preterm Status,Very Preterm Delivery (<32 Weeks),2060
2008,Medically Indigent Child & Minor Consent,Birthweight Range,Low Birthweight,515
2008,Medically Indigent Child & Minor Consent,Birthweight Range,Normal Birthweight,7150
2008,Medically Indigent Child & Minor Consent,Birthweight Range,Unknown Birthweight,2
2008,Medically Indigent Child & Minor Consent,Diabetes Status,Diabetes Diagnosis,136
2008,Medically Indigent Child & Minor Consent,Diabetes Status,No Diabetes Diagnosis,7531
2008,Medically Indigent Child & Minor Consent,Diabetes Status,Unknown Diabetes Status,0
2008,Medically Indigent Child & Minor Consent,Hypertension Status,Hypertension Diagnosis,593
2008,Medically Indigent Child & Minor Consent,Hypertension Status,No Hypertension Diagnosis,7074
2008,Medically Indigent Child & Minor Consent,Hypertension Status,Unknown Hypertension Status,0
2008,Medically Indigent Child & Minor Consent,Length of Gestation,Normal Gestation (>=37 Weeks),6575
2008,Medically Indigent Child & Minor Consent,Length of Gestation,Preterm Delivery (<37 Weeks),804
2008,Medically Indigent Child & Minor Consent,Length of Gestation,Unknown Gestation,288
2008,Medically Indigent Child & Minor Consent,Method of Delivery,Cesarean-Primary,1551
2008,Medically Indigent Child & Minor Consent,Method of Delivery,Cesarean-Repeat,126
2008,Medically Indigent Child & Minor Consent,Method of Delivery,Vaginal,5986
2008,Medically Indigent Child & Minor Consent,Method of Delivery,Vaginal After Previous Cesarean,4
2008,Medically Indigent Child & Minor Consent,Prenatal Care Initiation,First Trimester Initiation,5175
2008,Medically Indigent Child & Minor Consent,Prenatal Care Initiation,No Prenatal Care,49
2008,Medically Indigent Child & Minor Consent,Prenatal Care Initiation,Second Trimester Initiation,1894
