Calendar Year,Grouper,Birth Characteristic,Geographic Region, Number of Births , Annotation Code , Annotation Description 
2007,Maternal Race/Ethnicity,African-American,Los Angeles,6887,,
2007,Maternal Race/Ethnicity,American Indian/Alaska Native,Los Angeles,102,,
2007,Maternal Race/Ethnicity,Asian,Los Angeles,3657,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Los Angeles,251,,
2007,Maternal Race/Ethnicity,Hispanic,Los Angeles,65782,,
2007,Maternal Race/Ethnicity,Other/Unknown Race,Los Angeles,209,,
2007,Maternal Race/Ethnicity,Two or More Race Categories,Los Angeles,553,,
2007,Maternal Race/Ethnicity,White,Los Angeles,4672,,
2007,Aid Category,Blind and Persons with Disabilities,North Coast,79,,
2007,Aid Category,Families,North Coast,1413,,
2007,Aid Category,Medically Indigent Child & Minor Consent,North Coast,,2,Cell suppressed for complementary cell
2007,Aid Category,Medically Indigent Child & Minor Consent,North Coast,0,,
2007,Aid Category,Other,North Coast,,2,Cell suppressed for complementary cell
2007,Aid Category,Other,North Coast,0,,
2007,Aid Category,Pregnancy Pathway (Not Undocumented),North Coast,512,,
2007,Aid Category,Undocumented,North Coast,328,,
2007,Maternal Age Group,Ages 17 and Younger,North Coast,101,,
2007,Maternal Age Group,Ages 18-19,North Coast,273,,
2007,Maternal Age Group,Ages 20-24,North Coast,878,,
2007,Maternal Age Group,Ages 25-29,North Coast,690,,
2007,Maternal Age Group,Ages 30-34,North Coast,325,,
2007,Maternal Age Group,Ages 35 and Older,North Coast,159,,
2007,Maternal Race/Ethnicity,African-American,North Coast,28,,
2007,Maternal Race/Ethnicity,American Indian/Alaska Native,North Coast,176,,
2007,Maternal Race/Ethnicity,Asian,North Coast,60,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,North Coast,,1,Cell suppressed for small numbers
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,North Coast,0,,
2007,Maternal Race/Ethnicity,Hispanic,North Coast,690,,
2007,Maternal Race/Ethnicity,Other/Unknown Race,North Coast,,2,Cell suppressed for complementary cell
2007,Maternal Race/Ethnicity,Other/Unknown Race,North Coast,0,,
2007,Maternal Race/Ethnicity,Two or More Race Categories,North Coast,119,,
2007,Maternal Race/Ethnicity,White,North Coast,1325,,
2007,Aid Category,Blind and Persons with Disabilities,Sacramento Valley,461,,
2007,Aid Category,Families,Sacramento Valley,8846,,
2007,Aid Category,Medically Indigent Child & Minor Consent,Sacramento Valley,275,,
2007,Aid Category,Other,Sacramento Valley,89,,
2007,Aid Category,Pregnancy Pathway (Not Undocumented),Sacramento Valley,2406,,
2007,Aid Category,Undocumented,Sacramento Valley,3069,,
2007,Maternal Age Group,Ages 17 and Younger,Sacramento Valley,694,,
2007,Maternal Age Group,Ages 18-19,Sacramento Valley,1729,,
2007,Maternal Age Group,Ages 20-24,Sacramento Valley,5322,,
2007,Maternal Age Group,Ages 25-29,Sacramento Valley,3998,,
2007,Maternal Age Group,Ages 30-34,Sacramento Valley,2120,,
2007,Maternal Age Group,Ages 35 and Older,Sacramento Valley,1283,,
2007,Maternal Race/Ethnicity,African-American,Sacramento Valley,1624,,
2007,Maternal Race/Ethnicity,American Indian/Alaska Native,Sacramento Valley,158,,
2007,Maternal Race/Ethnicity,Asian,Sacramento Valley,1603,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Sacramento Valley,163,,
2007,Maternal Race/Ethnicity,Hispanic,Sacramento Valley,6232,,
2007,Maternal Race/Ethnicity,Other/Unknown Race,Sacramento Valley,33,,
2007,Maternal Race/Ethnicity,Two or More Race Categories,Sacramento Valley,539,,
2007,Maternal Race/Ethnicity,White,Sacramento Valley,4794,,
2007,Aid Category,Blind and Persons with Disabilities,Sierra Range/Foothills,60,,
2007,Aid Category,Families,Sierra Range/Foothills,1457,,
2007,Aid Category,Medically Indigent Child & Minor Consent,Sierra Range/Foothills,126,,
2007,Aid Category,Other,Sierra Range/Foothills,19,,
2007,Aid Category,Pregnancy Pathway (Not Undocumented),Sierra Range/Foothills,747,,
2007,Aid Category,Undocumented,Sierra Range/Foothills,614,,
2007,Maternal Age Group,Ages 17 and Younger,Sierra Range/Foothills,111,,
2007,Maternal Age Group,Ages 18-19,Sierra Range/Foothills,342,,
2007,Maternal Age Group,Ages 20-24,Sierra Range/Foothills,1118,,
2007,Maternal Age Group,Ages 25-29,Sierra Range/Foothills,808,,
2007,Maternal Age Group,Ages 30-34,Sierra Range/Foothills,409,,
2007,Maternal Age Group,Ages 35 and Older,Sierra Range/Foothills,235,,
2007,Maternal Race/Ethnicity,African-American,Sierra Range/Foothills,25,,
2007,Maternal Race/Ethnicity,American Indian/Alaska Native,Sierra Range/Foothills,62,,
2007,Maternal Race/Ethnicity,Asian,Sierra Range/Foothills,57,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Sierra Range/Foothills,,1,Cell suppressed for small numbers
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Sierra Range/Foothills,0,,
2007,Maternal Race/Ethnicity,Hispanic,Sierra Range/Foothills,1043,,
2007,Maternal Race/Ethnicity,Other/Unknown Race,Sierra Range/Foothills,,1,Cell suppressed for small numbers
2007,Maternal Race/Ethnicity,Other/Unknown Race,Sierra Range/Foothills,0,,
2007,Maternal Race/Ethnicity,Two or More Race Categories,Sierra Range/Foothills,78,,
2007,Maternal Race/Ethnicity,White,Sierra Range/Foothills,1746,,
2007,Aid Category,Blind and Persons with Disabilities,Southern California,905,,
2007,Aid Category,Families,Southern California,26586,,
2007,Aid Category,Medically Indigent Child & Minor Consent,Southern California,2330,,
2007,Aid Category,Other,Southern California,214,,
2007,Aid Category,Pregnancy Pathway (Not Undocumented),Southern California,12743,,
2007,Aid Category,Undocumented,Southern California,27820,,
2007,Maternal Age Group,Ages 17 and Younger,Southern California,3459,,
2007,Maternal Age Group,Ages 18-19,Southern California,7722,,
2007,Maternal Age Group,Ages 20-24,Southern California,23400,,
2007,Maternal Age Group,Ages 25-29,Southern California,18317,,
2007,Maternal Age Group,Ages 30-34,Southern California,11024,,
2007,Maternal Age Group,Ages 35 and Older,Southern California,6676,,
2007,Maternal Race/Ethnicity,African-American,Southern California,3813,,
2007,Maternal Race/Ethnicity,American Indian/Alaska Native,Southern California,187,,
2007,Maternal Race/Ethnicity,Asian,Southern California,2584,,
2007,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Southern California,323,,
2007,Maternal Race/Ethnicity,Hispanic,Southern California,52523,,
2007,Maternal Race/Ethnicity,Other/Unknown Race,Southern California,1381,,
2007,Maternal Race/Ethnicity,Two or More Race Categories,Southern California,842,,
2007,Maternal Race/Ethnicity,White,Southern California,8945,,
2008,Aid Category,Blind and Persons with Disabilities,Bay Area,590,,
2008,Aid Category,Families,Bay Area,12922,,
2008,Aid Category,Medically Indigent Child & Minor Consent,Bay Area,675,,
2008,Aid Category,Other,Bay Area,114,,
2008,Aid Category,Pregnancy Pathway (Not Undocumented),Bay Area,3947,,
2008,Aid Category,Undocumented,Bay Area,13700,,
2008,Maternal Age Group,Ages 17 and Younger,Bay Area,1218,,
2008,Maternal Age Group,Ages 18-19,Bay Area,2795,,
2008,Maternal Age Group,Ages 20-24,Bay Area,9885,,
2008,Maternal Age Group,Ages 25-29,Bay Area,8738,,
2008,Maternal Age Group,Ages 30-34,Bay Area,5822,,
2008,Maternal Age Group,Ages 35 and Older,Bay Area,3490,,
2008,Maternal Race/Ethnicity,African-American,Bay Area,3537,,
2008,Maternal Race/Ethnicity,American Indian/Alaska Native,Bay Area,103,,
2008,Maternal Race/Ethnicity,Asian,Bay Area,3282,,
2008,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Bay Area,421,,
2008,Maternal Race/Ethnicity,Hispanic,Bay Area,19600,,
2008,Maternal Race/Ethnicity,Other/Unknown Race,Bay Area,650,,
2008,Maternal Race/Ethnicity,Two or More Race Categories,Bay Area,633,,
2008,Maternal Race/Ethnicity,White,Bay Area,3722,,
2008,Aid Category,Blind and Persons with Disabilities,Central Coast,174,,
2008,Aid Category,Families,Central Coast,5588,,
2008,Aid Category,Medically Indigent Child & Minor Consent,Central Coast,612,,
2008,Aid Category,Other,Central Coast,26,,
2008,Aid Category,Pregnancy Pathway (Not Undocumented),Central Coast,2608,,
2008,Aid Category,Undocumented,Central Coast,8336,,
2008,Maternal Age Group,Ages 17 and Younger,Central Coast,944,,
2008,Maternal Age Group,Ages 18-19,Central Coast,1836,,
2008,Maternal Age Group,Ages 20-24,Central Coast,5523,,
2008,Maternal Age Group,Ages 25-29,Central Coast,4607,,
2008,Maternal Age Group,Ages 30-34,Central Coast,2803,,
2008,Maternal Age Group,Ages 35 and Older,Central Coast,1631,,
2008,Maternal Race/Ethnicity,African-American,Central Coast,149,,
2008,Maternal Race/Ethnicity,American Indian/Alaska Native,Central Coast,31,,
2008,Maternal Race/Ethnicity,Asian,Central Coast,257,,
2008,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Central Coast,41,,
2008,Maternal Race/Ethnicity,Hispanic,Central Coast,14694,,
2008,Maternal Race/Ethnicity,Other/Unknown Race,Central Coast,52,,
2008,Maternal Race/Ethnicity,Two or More Race Categories,Central Coast,156,,
2008,Maternal Race/Ethnicity,White,Central Coast,1964,,
2008,Aid Category,Blind and Persons with Disabilities,Central Valley,898,,
2008,Aid Category,Families,Central Valley,23606,,
2008,Aid Category,Medically Indigent Child & Minor Consent,Central Valley,1248,,
2008,Aid Category,Other,Central Valley,145,,
2008,Aid Category,Pregnancy Pathway (Not Undocumented),Central Valley,6137,,
2008,Aid Category,Undocumented,Central Valley,11844,,
2008,Maternal Age Group,Ages 17 and Younger,Central Valley,2547,,
2008,Maternal Age Group,Ages 18-19,Central Valley,5244,,
2008,Maternal Age Group,Ages 20-24,Central Valley,15151,,
2008,Maternal Age Group,Ages 25-29,Central Valley,11034,,
2008,Maternal Age Group,Ages 30-34,Central Valley,6230,,
2008,Maternal Age Group,Ages 35 and Older,Central Valley,3672,,
2008,Maternal Race/Ethnicity,African-American,Central Valley,2265,,
2008,Maternal Race/Ethnicity,American Indian/Alaska Native,Central Valley,251,,
2008,Maternal Race/Ethnicity,Asian,Central Valley,2509,,
2008,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Central Valley,91,,
2008,Maternal Race/Ethnicity,Hispanic,Central Valley,30934,,
2008,Maternal Race/Ethnicity,Other/Unknown Race,Central Valley,191,,
2008,Maternal Race/Ethnicity,Two or More Race Categories,Central Valley,568,,
2008,Maternal Race/Ethnicity,White,Central Valley,7069,,
2008,Aid Category,Blind and Persons with Disabilities,Far North,72,,
2008,Aid Category,Families,Far North,1040,,
2008,Aid Category,Medically Indigent Child & Minor Consent,Far North,,2,Cell suppressed for complementary cell
2008,Aid Category,Medically Indigent Child & Minor Consent,Far North,0,,
2008,Aid Category,Other,Far North,,1,Cell suppressed for small numbers
2008,Aid Category,Other,Far North,0,,
2008,Aid Category,Pregnancy Pathway (Not Undocumented),Far North,382,,
2008,Aid Category,Undocumented,Far North,66,,
2008,Maternal Age Group,Ages 17 and Younger,Far North,59,,
2008,Maternal Age Group,Ages 18-19,Far North,195,,
2008,Maternal Age Group,Ages 20-24,Far North,634,,
2008,Maternal Age Group,Ages 25-29,Far North,441,,
2008,Maternal Age Group,Ages 30-34,Far North,192,,
2008,Maternal Age Group,Ages 35 and Older,Far North,79,,
2008,Maternal Race/Ethnicity,African-American,Far North,20,,
2008,Maternal Race/Ethnicity,American Indian/Alaska Native,Far North,88,,
2008,Maternal Race/Ethnicity,Asian,Far North,51,,
2008,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Far North,,1,Cell suppressed for small numbers
2008,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Far North,0,,
2008,Maternal Race/Ethnicity,Hispanic,Far North,215,,
2008,Maternal Race/Ethnicity,Other/Unknown Race,Far North,,1,Cell suppressed for small numbers
2008,Maternal Race/Ethnicity,Other/Unknown Race,Far North,0,,
2008,Maternal Race/Ethnicity,Two or More Race Categories,Far North,37,,
2008,Maternal Race/Ethnicity,White,Far North,1176,,
2008,Aid Category,Blind and Persons with Disabilities,Invalid Code,2,,
2008,Aid Category,Families,Invalid Code,103,,
2008,Aid Category,Medically Indigent Child & Minor Consent,Invalid Code,8,,
2008,Aid Category,Other,Invalid Code,46,,
2008,Aid Category,Pregnancy Pathway (Not Undocumented),Invalid Code,5,,
2008,Aid Category,Undocumented,Invalid Code,8,,
2008,Maternal Age Group,Ages 17 and Younger,Invalid Code,9,,
2008,Maternal Age Group,Ages 18-19,Invalid Code,48,,
2008,Maternal Age Group,Ages 20-24,Invalid Code,55,,
2008,Maternal Age Group,Ages 25-29,Invalid Code,31,,
2008,Maternal Age Group,Ages 30-34,Invalid Code,18,,
2008,Maternal Age Group,Ages 35 and Older,Invalid Code,11,,
2008,Maternal Race/Ethnicity,African-American,Invalid Code,22,,
2008,Maternal Race/Ethnicity,American Indian/Alaska Native,Invalid Code,0,,
2008,Maternal Race/Ethnicity,Asian,Invalid Code,3,,
2008,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Invalid Code,1,,
2008,Maternal Race/Ethnicity,Hispanic,Invalid Code,108,,
2008,Maternal Race/Ethnicity,Other/Unknown Race,Invalid Code,0,,
2008,Maternal Race/Ethnicity,Two or More Race Categories,Invalid Code,4,,
2008,Maternal Race/Ethnicity,White,Invalid Code,34,,
2008,Aid Category,Blind and Persons with Disabilities,Los Angeles,1011,,
2008,Aid Category,Families,Los Angeles,33228,,
2008,Aid Category,Medically Indigent Child & Minor Consent,Los Angeles,1988,,
2008,Aid Category,Other,Los Angeles,368,,
2008,Aid Category,Pregnancy Pathway (Not Undocumented),Los Angeles,7691,,
2008,Aid Category,Undocumented,Los Angeles,36046,,
2008,Maternal Age Group,Ages 17 and Younger,Los Angeles,3533,,
2008,Maternal Age Group,Ages 18-19,Los Angeles,7696,,
2008,Maternal Age Group,Ages 20-24,Los Angeles,24199,,
2008,Maternal Age Group,Ages 25-29,Los Angeles,21305,,
2008,Maternal Age Group,Ages 30-34,Los Angeles,14323,,
2008,Maternal Age Group,Ages 35 and Older,Los Angeles,9276,,
2008,Maternal Race/Ethnicity,African-American,Los Angeles,7044,,
2008,Maternal Race/Ethnicity,American Indian/Alaska Native,Los Angeles,87,,
2008,Maternal Race/Ethnicity,Asian,Los Angeles,3543,,
2008,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Los Angeles,257,,
2008,Maternal Race/Ethnicity,Hispanic,Los Angeles,64023,,
2008,Maternal Race/Ethnicity,Other/Unknown Race,Los Angeles,323,,
2008,Maternal Race/Ethnicity,Two or More Race Categories,Los Angeles,580,,
2008,Maternal Race/Ethnicity,White,Los Angeles,4475,,
2008,Aid Category,Blind and Persons with Disabilities,North Coast,79,,
2008,Aid Category,Families,North Coast,1326,,
2008,Aid Category,Medically Indigent Child & Minor Consent,North Coast,,2,Cell suppressed for complementary cell
2008,Aid Category,Medically Indigent Child & Minor Consent,North Coast,0,,
2008,Aid Category,Other,North Coast,16,,
2008,Aid Category,Pregnancy Pathway (Not Undocumented),North Coast,508,,
2008,Aid Category,Undocumented,North Coast,329,,
2008,Maternal Age Group,Ages 17 and Younger,North Coast,110,,
2008,Maternal Age Group,Ages 18-19,North Coast,257,,
2008,Maternal Age Group,Ages 20-24,North Coast,816,,
2008,Maternal Age Group,Ages 25-29,North Coast,651,,
2008,Maternal Age Group,Ages 30-34,North Coast,319,,
2008,Maternal Age Group,Ages 35 and Older,North Coast,176,,
2008,Maternal Race/Ethnicity,African-American,North Coast,24,,
2008,Maternal Race/Ethnicity,American Indian/Alaska Native,North Coast,190,,
2008,Maternal Race/Ethnicity,Asian,North Coast,59,,
2008,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,North Coast,,1,Cell suppressed for small numbers
2008,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,North Coast,0,,
2008,Maternal Race/Ethnicity,Hispanic,North Coast,701,,
2008,Maternal Race/Ethnicity,Other/Unknown Race,North Coast,,2,Cell suppressed for complementary cell
2008,Maternal Race/Ethnicity,Other/Unknown Race,North Coast,0,,
2008,Maternal Race/Ethnicity,Two or More Race Categories,North Coast,108,,
2008,Maternal Race/Ethnicity,White,North Coast,1222,,
2008,Aid Category,Blind and Persons with Disabilities,Sacramento Valley,494,,
2008,Aid Category,Families,Sacramento Valley,9120,,
2008,Aid Category,Medically Indigent Child & Minor Consent,Sacramento Valley,308,,
2008,Aid Category,Other,Sacramento Valley,79,,
2008,Aid Category,Pregnancy Pathway (Not Undocumented),Sacramento Valley,2313,,
2008,Aid Category,Undocumented,Sacramento Valley,2769,,
2008,Maternal Age Group,Ages 17 and Younger,Sacramento Valley,638,,
2008,Maternal Age Group,Ages 18-19,Sacramento Valley,1703,,
2008,Maternal Age Group,Ages 20-24,Sacramento Valley,5260,,
2008,Maternal Age Group,Ages 25-29,Sacramento Valley,4048,,
2008,Maternal Age Group,Ages 30-34,Sacramento Valley,2151,,
2008,Maternal Age Group,Ages 35 and Older,Sacramento Valley,1283,,
2008,Maternal Race/Ethnicity,African-American,Sacramento Valley,1583,,
2008,Maternal Race/Ethnicity,American Indian/Alaska Native,Sacramento Valley,151,,
2008,Maternal Race/Ethnicity,Asian,Sacramento Valley,1605,,
2008,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Sacramento Valley,154,,
2008,Maternal Race/Ethnicity,Hispanic,Sacramento Valley,6069,,
2008,Maternal Race/Ethnicity,Other/Unknown Race,Sacramento Valley,38,,
2008,Maternal Race/Ethnicity,Two or More Race Categories,Sacramento Valley,637,,
2008,Maternal Race/Ethnicity,White,Sacramento Valley,4846,,
2008,Aid Category,Blind and Persons with Disabilities,Sierra Range/Foothills,62,,
2008,Aid Category,Families,Sierra Range/Foothills,1613,,
2008,Aid Category,Medically Indigent Child & Minor Consent,Sierra Range/Foothills,126,,
2008,Aid Category,Other,Sierra Range/Foothills,,2,Cell suppressed for complementary cell
2008,Aid Category,Other,Sierra Range/Foothills,0,,
2008,Aid Category,Pregnancy Pathway (Not Undocumented),Sierra Range/Foothills,758,,
2008,Aid Category,Undocumented,Sierra Range/Foothills,617,,
2008,Maternal Age Group,Ages 17 and Younger,Sierra Range/Foothills,93,,
2008,Maternal Age Group,Ages 18-19,Sierra Range/Foothills,336,,
2008,Maternal Age Group,Ages 20-24,Sierra Range/Foothills,1140,,
2008,Maternal Age Group,Ages 25-29,Sierra Range/Foothills,892,,
2008,Maternal Age Group,Ages 30-34,Sierra Range/Foothills,463,,
2008,Maternal Age Group,Ages 35 and Older,Sierra Range/Foothills,266,,
2008,Maternal Race/Ethnicity,African-American,Sierra Range/Foothills,22,,
2008,Maternal Race/Ethnicity,American Indian/Alaska Native,Sierra Range/Foothills,57,,
2008,Maternal Race/Ethnicity,Asian,Sierra Range/Foothills,44,,
2008,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Sierra Range/Foothills,,1,Cell suppressed for small numbers
2008,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,Sierra Range/Foothills,0,,
2008,Maternal Race/Ethnicity,Hispanic,Sierra Range/Foothills,1027,,
2008,Maternal Race/Ethnicity,Other/Unknown Race,Sierra Range/Foothills,,1,Cell suppressed for small numbers
2008,Maternal Race/Ethnicity,Other/Unknown Race,Sierra Range/Foothills,0,,
2008,Maternal Race/Ethnicity,Two or More Race Categories,Sierra Range/Foothills,112,,
2008,Maternal Race/Ethnicity,White,Sierra Range/Foothills,1915,,
2008,Aid Category,Blind and Persons with Disabilities,Southern California,889,,
2008,Aid Category,Families,Southern California,27502,,
2008,Aid Category,Medically Indigent Child & Minor Consent,Southern California,2601,,
2008,Aid Category,Other,Southern California,235,,
2008,Aid Category,Pregnancy Pathway (Not Undocumented),Southern California,12571,,
2008,Aid Category,Undocumented,Southern California,25587,,
2008,Maternal Age Group,Ages 17 and Younger,Southern California,3383,,
2008,Maternal Age Group,Ages 18-19,Southern California,7611,,
2008,Maternal Age Group,Ages 20-24,Southern California,22666,,
2008,Maternal Age Group,Ages 25-29,Southern California,18016,,
