Calendar Year,Payer,Very Preterm Status,Grouper,Birth Characteristic, Number of Births 
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Nativity,U.S.-Born,2781
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Nativity,Unknown Nativity,9
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,African-American,375
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,American Indian/Alaska Native,19
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Asian,635
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Hawaiian/Pacific Islander,31
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Hispanic,1608
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Other/Unknown Race,154
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,Two or More Race Categories,91
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Maternal Race/Ethnicity,White,1374
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Parity Status,First-Born,1776
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Parity Status,One Previous Birth,1251
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Parity Status,Two or More Previous Births,1257
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Parity Status,Unknown Parity,3
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Normal Weight,1255
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Obese/Extremely Obese,611
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Overweight,712
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Underweight,110
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Pre-Pregnancy Weight,Unknown Weight,1599
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Single/Multiple Birth,Multiple Birth,1220
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Single/Multiple Birth,Singleton Birth,3067
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Smoking Status,Maternal Non-Smoker,3480
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Smoking Status,Maternal Smoker,79
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Smoking Status,Unknown Smoking Status,728
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Substance Use Status,Maternal Non-Substance User,3551
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Substance Use Status,Maternal Substance User,68
2007,Non-Medi-Cal,Very Preterm Delivery (<32 Weeks),Substance Use Status,Unknown Substance Use Status,668
2008,Medi-Cal,Gestation >=32 Weeks,Diabetes Status,Diabetes Diagnosis,17918
2008,Medi-Cal,Gestation >=32 Weeks,Diabetes Status,No Diabetes Diagnosis,232956
2008,Medi-Cal,Gestation >=32 Weeks,Diabetes Status,Unknown Diabetes Status,0
2008,Medi-Cal,Gestation >=32 Weeks,Hypertension Status,Hypertension Diagnosis,16030
2008,Medi-Cal,Gestation >=32 Weeks,Hypertension Status,No Hypertension Diagnosis,234844
2008,Medi-Cal,Gestation >=32 Weeks,Hypertension Status,Unknown Hypertension Status,0
2008,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 17 and Younger,11736
2008,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 18-19,26101
2008,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 20-24,80621
2008,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 25-29,66177
2008,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 30-34,41037
2008,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Ages 35 and Older,25202
2008,Medi-Cal,Gestation >=32 Weeks,Maternal Age Group,Invalid Age,0
2008,Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Bachelor's Degree or Higher,8542
2008,Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,High School Graduate,81853
2008,Medi-Cal,Gestation >=32 Weeks,Maternal Education Status,Less Than High School,109655
