Calendar Year,Payer,Maternal Race/Ethnicity,Grouper,Birth Characteristic, Number of Births 
2007,Medi-Cal,Asian/Pacific Islander,Diabetes Status,No Diabetes Diagnosis,13933
2007,Medi-Cal,Asian/Pacific Islander,Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,Asian/Pacific Islander,Hypertension Status,Hypertension Diagnosis,774
2007,Medi-Cal,Asian/Pacific Islander,Hypertension Status,No Hypertension Diagnosis,14572
2007,Medi-Cal,Asian/Pacific Islander,Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Non-Smoker,14701
2007,Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Smoker,352
2007,Medi-Cal,Asian/Pacific Islander,Smoking Status,Unknown Smoking Status,293
2007,Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Non-Substance User,15220
2007,Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Substance User,126
2007,Medi-Cal,Asian/Pacific Islander,Substance Use Status,Unknown Substance Use Status,0
2007,Medi-Cal,Hispanic,Diabetes Status,Diabetes Diagnosis,14329
2007,Medi-Cal,Hispanic,Diabetes Status,No Diabetes Diagnosis,178291
2007,Medi-Cal,Hispanic,Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,Hispanic,Hypertension Status,Hypertension Diagnosis,11437
2007,Medi-Cal,Hispanic,Hypertension Status,No Hypertension Diagnosis,181183
2007,Medi-Cal,Hispanic,Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,Hispanic,Smoking Status,Maternal Non-Smoker,184087
2007,Medi-Cal,Hispanic,Smoking Status,Maternal Smoker,2134
2007,Medi-Cal,Hispanic,Smoking Status,Unknown Smoking Status,6399
2007,Medi-Cal,Hispanic,Substance Use Status,Maternal Non-Substance User,190843
2007,Medi-Cal,Hispanic,Substance Use Status,Maternal Substance User,1777
2007,Medi-Cal,Hispanic,Substance Use Status,Unknown Substance Use Status,0
2007,Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Diabetes Diagnosis,369
2007,Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,No Diabetes Diagnosis,5402
2007,Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Hypertension Diagnosis,437
2007,Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,No Hypertension Diagnosis,5334
2007,Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Non-Smoker,4992
2007,Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Smoker,596
2007,Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Unknown Smoking Status,183
2007,Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Non-Substance User,5522
2007,Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Substance User,249
2007,Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Unknown Substance Use Status,0
2007,Medi-Cal,White,Diabetes Status,Diabetes Diagnosis,1844
2007,Medi-Cal,White,Diabetes Status,No Diabetes Diagnosis,33470
2007,Medi-Cal,White,Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,White,Hypertension Status,Hypertension Diagnosis,2534
2007,Medi-Cal,White,Hypertension Status,No Hypertension Diagnosis,32780
2007,Medi-Cal,White,Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,White,Smoking Status,Maternal Non-Smoker,28204
2007,Medi-Cal,White,Smoking Status,Maternal Smoker,5980
2007,Medi-Cal,White,Smoking Status,Unknown Smoking Status,1130
2007,Medi-Cal,White,Substance Use Status,Maternal Non-Substance User,33569
2007,Medi-Cal,White,Substance Use Status,Maternal Substance User,1745
2007,Medi-Cal,White,Substance Use Status,Unknown Substance Use Status,0
2007,Non-Medi-Cal,African-American,Diabetes Status,Diabetes Diagnosis,658
2007,Non-Medi-Cal,African-American,Diabetes Status,No Diabetes Diagnosis,8765
2007,Non-Medi-Cal,African-American,Diabetes Status,Unknown Diabetes Status,1553
2007,Non-Medi-Cal,African-American,Hypertension Status,Hypertension Diagnosis,1160
2007,Non-Medi-Cal,African-American,Hypertension Status,No Hypertension Diagnosis,8263
2007,Non-Medi-Cal,African-American,Hypertension Status,Unknown Hypertension Status,1553
2007,Non-Medi-Cal,African-American,Smoking Status,Maternal Non-Smoker,9063
2007,Non-Medi-Cal,African-American,Smoking Status,Maternal Smoker,209
2007,Non-Medi-Cal,African-American,Smoking Status,Unknown Smoking Status,1704
2007,Non-Medi-Cal,African-American,Substance Use Status,Maternal Non-Substance User,9247
2007,Non-Medi-Cal,African-American,Substance Use Status,Maternal Substance User,176
2007,Non-Medi-Cal,African-American,Substance Use Status,Unknown Substance Use Status,1553
2007,Non-Medi-Cal,American Indian/Alaska Native,Diabetes Status,Diabetes Diagnosis,64
2007,Non-Medi-Cal,American Indian/Alaska Native,Diabetes Status,No Diabetes Diagnosis,644
2007,Non-Medi-Cal,American Indian/Alaska Native,Diabetes Status,Unknown Diabetes Status,128
2007,Non-Medi-Cal,American Indian/Alaska Native,Hypertension Status,Hypertension Diagnosis,82
2007,Non-Medi-Cal,American Indian/Alaska Native,Hypertension Status,No Hypertension Diagnosis,626
2007,Non-Medi-Cal,American Indian/Alaska Native,Hypertension Status,Unknown Hypertension Status,128
2007,Non-Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Non-Smoker,650
2007,Non-Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Smoker,44
2007,Non-Medi-Cal,American Indian/Alaska Native,Smoking Status,Unknown Smoking Status,142
2007,Non-Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Non-Substance User,672
2007,Non-Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Substance User,36
2007,Non-Medi-Cal,American Indian/Alaska Native,Substance Use Status,Unknown Substance Use Status,128
2007,Non-Medi-Cal,Asian/Pacific Islander,Diabetes Status,Diabetes Diagnosis,5882
2007,Non-Medi-Cal,Asian/Pacific Islander,Diabetes Status,No Diabetes Diagnosis,44797
2007,Non-Medi-Cal,Asian/Pacific Islander,Diabetes Status,Unknown Diabetes Status,2508
2007,Non-Medi-Cal,Asian/Pacific Islander,Hypertension Status,Hypertension Diagnosis,2643
2007,Non-Medi-Cal,Asian/Pacific Islander,Hypertension Status,No Hypertension Diagnosis,48036
2007,Non-Medi-Cal,Asian/Pacific Islander,Hypertension Status,Unknown Hypertension Status,2508
2007,Non-Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Non-Smoker,50040
2007,Non-Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Smoker,263
2007,Non-Medi-Cal,Asian/Pacific Islander,Smoking Status,Unknown Smoking Status,2884
2007,Non-Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Non-Substance User,50612
2007,Non-Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Substance User,67
2007,Non-Medi-Cal,Asian/Pacific Islander,Substance Use Status,Unknown Substance Use Status,2508
2007,Non-Medi-Cal,Hispanic,Diabetes Status,Diabetes Diagnosis,8198
2007,Non-Medi-Cal,Hispanic,Diabetes Status,No Diabetes Diagnosis,84025
2007,Non-Medi-Cal,Hispanic,Diabetes Status,Unknown Diabetes Status,10439
2007,Non-Medi-Cal,Hispanic,Hypertension Status,Hypertension Diagnosis,6207
2007,Non-Medi-Cal,Hispanic,Hypertension Status,No Hypertension Diagnosis,86016
2007,Non-Medi-Cal,Hispanic,Hypertension Status,Unknown Hypertension Status,10439
2007,Non-Medi-Cal,Hispanic,Smoking Status,Maternal Non-Smoker,90414
2007,Non-Medi-Cal,Hispanic,Smoking Status,Maternal Smoker,602
2007,Non-Medi-Cal,Hispanic,Smoking Status,Unknown Smoking Status,11646
2007,Non-Medi-Cal,Hispanic,Substance Use Status,Maternal Non-Substance User,91724
2007,Non-Medi-Cal,Hispanic,Substance Use Status,Maternal Substance User,499
2007,Non-Medi-Cal,Hispanic,Substance Use Status,Unknown Substance Use Status,10439
2007,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Diabetes Diagnosis,749
2007,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,No Diabetes Diagnosis,9521
2007,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Unknown Diabetes Status,1566
2007,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Hypertension Diagnosis,768
2007,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,No Hypertension Diagnosis,9502
2007,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Unknown Hypertension Status,1566
2007,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Non-Smoker,9880
2007,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Smoker,212
2007,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Unknown Smoking Status,1744
2007,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Non-Substance User,10174
2007,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Substance User,96
2007,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Unknown Substance Use Status,1566
2007,Non-Medi-Cal,White,Diabetes Status,Diabetes Diagnosis,5698
2007,Non-Medi-Cal,White,Diabetes Status,No Diabetes Diagnosis,100333
2007,Non-Medi-Cal,White,Diabetes Status,Unknown Diabetes Status,7014
2007,Non-Medi-Cal,White,Hypertension Status,Hypertension Diagnosis,7619
2007,Non-Medi-Cal,White,Hypertension Status,No Hypertension Diagnosis,98412
2007,Non-Medi-Cal,White,Hypertension Status,Unknown Hypertension Status,7014
2007,Non-Medi-Cal,White,Smoking Status,Maternal Non-Smoker,102541
2007,Non-Medi-Cal,White,Smoking Status,Maternal Smoker,2243
2007,Non-Medi-Cal,White,Smoking Status,Unknown Smoking Status,8261
2007,Non-Medi-Cal,White,Substance Use Status,Maternal Non-Substance User,105435
2007,Non-Medi-Cal,White,Substance Use Status,Maternal Substance User,596
2007,Non-Medi-Cal,White,Substance Use Status,Unknown Substance Use Status,7014
2008,Medi-Cal,African-American,Diabetes Status,Diabetes Diagnosis,926
2008,Medi-Cal,African-American,Diabetes Status,No Diabetes Diagnosis,17632
2008,Medi-Cal,African-American,Diabetes Status,Unknown Diabetes Status,0
2008,Medi-Cal,African-American,Hypertension Status,Hypertension Diagnosis,2103
2008,Medi-Cal,African-American,Hypertension Status,No Hypertension Diagnosis,16455
2008,Medi-Cal,African-American,Hypertension Status,Unknown Hypertension Status,0
2008,Medi-Cal,African-American,Smoking Status,Maternal Non-Smoker,16623
2008,Medi-Cal,African-American,Smoking Status,Maternal Smoker,1170
2008,Medi-Cal,African-American,Smoking Status,Unknown Smoking Status,765
2008,Medi-Cal,African-American,Substance Use Status,Maternal Non-Substance User,17857
2008,Medi-Cal,African-American,Substance Use Status,Maternal Substance User,701
2008,Medi-Cal,African-American,Substance Use Status,Unknown Substance Use Status,0
2008,Medi-Cal,American Indian/Alaska Native,Diabetes Status,Diabetes Diagnosis,88
2008,Medi-Cal,American Indian/Alaska Native,Diabetes Status,No Diabetes Diagnosis,1075
2008,Medi-Cal,American Indian/Alaska Native,Diabetes Status,Unknown Diabetes Status,0
2008,Medi-Cal,American Indian/Alaska Native,Hypertension Status,Hypertension Diagnosis,103
2008,Medi-Cal,American Indian/Alaska Native,Hypertension Status,No Hypertension Diagnosis,1060
2008,Medi-Cal,American Indian/Alaska Native,Hypertension Status,Unknown Hypertension Status,0
2008,Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Non-Smoker,976
2008,Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Smoker,157
2008,Medi-Cal,American Indian/Alaska Native,Smoking Status,Unknown Smoking Status,30
2008,Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Non-Substance User,1100
2008,Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Substance User,63
2008,Medi-Cal,American Indian/Alaska Native,Substance Use Status,Unknown Substance Use Status,0
2008,Medi-Cal,Asian/Pacific Islander,Diabetes Status,Diabetes Diagnosis,1434
2008,Medi-Cal,Asian/Pacific Islander,Diabetes Status,No Diabetes Diagnosis,13625
2008,Medi-Cal,Asian/Pacific Islander,Diabetes Status,Unknown Diabetes Status,0
2008,Medi-Cal,Asian/Pacific Islander,Hypertension Status,Hypertension Diagnosis,755
2008,Medi-Cal,Asian/Pacific Islander,Hypertension Status,No Hypertension Diagnosis,14304
2008,Medi-Cal,Asian/Pacific Islander,Hypertension Status,Unknown Hypertension Status,0
2008,Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Non-Smoker,14493
2008,Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Smoker,298
2008,Medi-Cal,Asian/Pacific Islander,Smoking Status,Unknown Smoking Status,268
2008,Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Non-Substance User,14960
2008,Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Substance User,99
2008,Medi-Cal,Asian/Pacific Islander,Substance Use Status,Unknown Substance Use Status,0
2008,Medi-Cal,Hispanic,Diabetes Status,Diabetes Diagnosis,14203
2008,Medi-Cal,Hispanic,Diabetes Status,No Diabetes Diagnosis,174210
2008,Medi-Cal,Hispanic,Diabetes Status,Unknown Diabetes Status,0
2008,Medi-Cal,Hispanic,Hypertension Status,Hypertension Diagnosis,11499
2008,Medi-Cal,Hispanic,Hypertension Status,No Hypertension Diagnosis,176914
2008,Medi-Cal,Hispanic,Hypertension Status,Unknown Hypertension Status,0
2008,Medi-Cal,Hispanic,Smoking Status,Maternal Non-Smoker,180976
2008,Medi-Cal,Hispanic,Smoking Status,Maternal Smoker,1802
2008,Medi-Cal,Hispanic,Smoking Status,Unknown Smoking Status,5635
2008,Medi-Cal,Hispanic,Substance Use Status,Maternal Non-Substance User,186879
2008,Medi-Cal,Hispanic,Substance Use Status,Maternal Substance User,1534
2008,Medi-Cal,Hispanic,Substance Use Status,Unknown Substance Use Status,0
2008,Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Diabetes Diagnosis,382
2008,Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,No Diabetes Diagnosis,6076
2008,Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Unknown Diabetes Status,0
2008,Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Hypertension Diagnosis,467
2008,Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,No Hypertension Diagnosis,5991
2008,Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Unknown Hypertension Status,0
2008,Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Non-Smoker,5745
2008,Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Smoker,563
2008,Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Unknown Smoking Status,150
2008,Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Non-Substance User,6199
2008,Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Substance User,259
2008,Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Unknown Substance Use Status,0
2008,Medi-Cal,White,Diabetes Status,Diabetes Diagnosis,1879
2008,Medi-Cal,White,Diabetes Status,No Diabetes Diagnosis,33731
2008,Medi-Cal,White,Diabetes Status,Unknown Diabetes Status,0
2008,Medi-Cal,White,Hypertension Status,Hypertension Diagnosis,2482
2008,Medi-Cal,White,Hypertension Status,No Hypertension Diagnosis,33128
2008,Medi-Cal,White,Hypertension Status,Unknown Hypertension Status,0
2008,Medi-Cal,White,Smoking Status,Maternal Non-Smoker,29183
2008,Medi-Cal,White,Smoking Status,Maternal Smoker,5476
2008,Medi-Cal,White,Smoking Status,Unknown Smoking Status,951
2008,Medi-Cal,White,Substance Use Status,Maternal Non-Substance User,34032
2008,Medi-Cal,White,Substance Use Status,Maternal Substance User,1578
2008,Medi-Cal,White,Substance Use Status,Unknown Substance Use Status,0
2008,Non-Medi-Cal,African-American,Diabetes Status,Diabetes Diagnosis,626
2008,Non-Medi-Cal,African-American,Diabetes Status,No Diabetes Diagnosis,8571
2008,Non-Medi-Cal,African-American,Diabetes Status,Unknown Diabetes Status,1423
2008,Non-Medi-Cal,African-American,Hypertension Status,Hypertension Diagnosis,1153
2008,Non-Medi-Cal,African-American,Hypertension Status,No Hypertension Diagnosis,8044
2008,Non-Medi-Cal,African-American,Hypertension Status,Unknown Hypertension Status,1423
2008,Non-Medi-Cal,African-American,Smoking Status,Maternal Non-Smoker,8894
2008,Non-Medi-Cal,African-American,Smoking Status,Maternal Smoker,165
2008,Non-Medi-Cal,African-American,Smoking Status,Unknown Smoking Status,1561
2008,Non-Medi-Cal,African-American,Substance Use Status,Maternal Non-Substance User,9039
2008,Non-Medi-Cal,African-American,Substance Use Status,Maternal Substance User,158
2008,Non-Medi-Cal,African-American,Substance Use Status,Unknown Substance Use Status,1423
2008,Non-Medi-Cal,American Indian/Alaska Native,Diabetes Status,Diabetes Diagnosis,71
2008,Non-Medi-Cal,American Indian/Alaska Native,Diabetes Status,No Diabetes Diagnosis,627
2008,Non-Medi-Cal,American Indian/Alaska Native,Diabetes Status,Unknown Diabetes Status,123
2008,Non-Medi-Cal,American Indian/Alaska Native,Hypertension Status,Hypertension Diagnosis,63
2008,Non-Medi-Cal,American Indian/Alaska Native,Hypertension Status,No Hypertension Diagnosis,635
2008,Non-Medi-Cal,American Indian/Alaska Native,Hypertension Status,Unknown Hypertension Status,123
2008,Non-Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Non-Smoker,639
2008,Non-Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Smoker,45
2008,Non-Medi-Cal,American Indian/Alaska Native,Smoking Status,Unknown Smoking Status,137
2008,Non-Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Non-Substance User,677
2008,Non-Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Substance User,21
2008,Non-Medi-Cal,American Indian/Alaska Native,Substance Use Status,Unknown Substance Use Status,123
2008,Non-Medi-Cal,Asian/Pacific Islander,Diabetes Status,Diabetes Diagnosis,5998
2008,Non-Medi-Cal,Asian/Pacific Islander,Diabetes Status,No Diabetes Diagnosis,43516
2008,Non-Medi-Cal,Asian/Pacific Islander,Diabetes Status,Unknown Diabetes Status,2395
2008,Non-Medi-Cal,Asian/Pacific Islander,Hypertension Status,Hypertension Diagnosis,2685
2008,Non-Medi-Cal,Asian/Pacific Islander,Hypertension Status,No Hypertension Diagnosis,46829
2008,Non-Medi-Cal,Asian/Pacific Islander,Hypertension Status,Unknown Hypertension Status,2395
2008,Non-Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Non-Smoker,48982
2008,Non-Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Smoker,223
2008,Non-Medi-Cal,Asian/Pacific Islander,Smoking Status,Unknown Smoking Status,2704
2008,Non-Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Non-Substance User,49475
2008,Non-Medi-Cal,Asian/Pacific Islander,Substance Use Status,Maternal Substance User,39
2008,Non-Medi-Cal,Asian/Pacific Islander,Substance Use Status,Unknown Substance Use Status,2395
2008,Non-Medi-Cal,Hispanic,Diabetes Status,Diabetes Diagnosis,7601
2008,Non-Medi-Cal,Hispanic,Diabetes Status,No Diabetes Diagnosis,80189
2008,Non-Medi-Cal,Hispanic,Diabetes Status,Unknown Diabetes Status,9752
2008,Non-Medi-Cal,Hispanic,Hypertension Status,Hypertension Diagnosis,5911
2008,Non-Medi-Cal,Hispanic,Hypertension Status,No Hypertension Diagnosis,81879
2008,Non-Medi-Cal,Hispanic,Hypertension Status,Unknown Hypertension Status,9752
2008,Non-Medi-Cal,Hispanic,Smoking Status,Maternal Non-Smoker,86291
2008,Non-Medi-Cal,Hispanic,Smoking Status,Maternal Smoker,499
2008,Non-Medi-Cal,Hispanic,Smoking Status,Unknown Smoking Status,10752
2008,Non-Medi-Cal,Hispanic,Substance Use Status,Maternal Non-Substance User,87358
2008,Non-Medi-Cal,Hispanic,Substance Use Status,Maternal Substance User,432
2008,Non-Medi-Cal,Hispanic,Substance Use Status,Unknown Substance Use Status,9752
2008,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Diabetes Diagnosis,814
2008,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,No Diabetes Diagnosis,9747
2008,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Diabetes Status,Unknown Diabetes Status,1723
2008,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Hypertension Diagnosis,796
2008,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,No Hypertension Diagnosis,9765
2008,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Hypertension Status,Unknown Hypertension Status,1723
2008,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Non-Smoker,10232
2008,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Maternal Smoker,190
2008,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Smoking Status,Unknown Smoking Status,1862
2008,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Non-Substance User,10470
2008,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Maternal Substance User,91
2008,Non-Medi-Cal,Other/Two or More Race Categories/Unknown,Substance Use Status,Unknown Substance Use Status,1723
2008,Non-Medi-Cal,White,Diabetes Status,Diabetes Diagnosis,5586
2008,Non-Medi-Cal,White,Diabetes Status,No Diabetes Diagnosis,95709
2008,Non-Medi-Cal,White,Diabetes Status,Unknown Diabetes Status,6518
2008,Non-Medi-Cal,White,Hypertension Status,Hypertension Diagnosis,7148
2008,Non-Medi-Cal,White,Hypertension Status,No Hypertension Diagnosis,94147
2008,Non-Medi-Cal,White,Hypertension Status,Unknown Hypertension Status,6518
2008,Non-Medi-Cal,White,Smoking Status,Maternal Non-Smoker,98489
2008,Non-Medi-Cal,White,Smoking Status,Maternal Smoker,1929
2008,Non-Medi-Cal,White,Smoking Status,Unknown Smoking Status,7395
2008,Non-Medi-Cal,White,Substance Use Status,Maternal Non-Substance User,100806
2008,Non-Medi-Cal,White,Substance Use Status,Maternal Substance User,489
2008,Non-Medi-Cal,White,Substance Use Status,Unknown Substance Use Status,6518
2009,Medi-Cal,African-American,Diabetes Status,Diabetes Diagnosis,931
2009,Medi-Cal,African-American,Diabetes Status,No Diabetes Diagnosis,17479
2009,Medi-Cal,African-American,Diabetes Status,Unknown Diabetes Status,0
2009,Medi-Cal,African-American,Hypertension Status,Hypertension Diagnosis,2133
2009,Medi-Cal,African-American,Hypertension Status,No Hypertension Diagnosis,16277
2009,Medi-Cal,African-American,Hypertension Status,Unknown Hypertension Status,0
2009,Medi-Cal,African-American,Smoking Status,Maternal Non-Smoker,16683
2009,Medi-Cal,African-American,Smoking Status,Maternal Smoker,1094
2009,Medi-Cal,African-American,Smoking Status,Unknown Smoking Status,633
2009,Medi-Cal,African-American,Substance Use Status,Maternal Non-Substance User,17664
2009,Medi-Cal,African-American,Substance Use Status,Maternal Substance User,746
2009,Medi-Cal,African-American,Substance Use Status,Unknown Substance Use Status,0
2009,Medi-Cal,American Indian/Alaska Native,Diabetes Status,Diabetes Diagnosis,98
2009,Medi-Cal,American Indian/Alaska Native,Diabetes Status,No Diabetes Diagnosis,1029
2009,Medi-Cal,American Indian/Alaska Native,Diabetes Status,Unknown Diabetes Status,0
2009,Medi-Cal,American Indian/Alaska Native,Hypertension Status,Hypertension Diagnosis,100
2009,Medi-Cal,American Indian/Alaska Native,Hypertension Status,No Hypertension Diagnosis,1027
2009,Medi-Cal,American Indian/Alaska Native,Hypertension Status,Unknown Hypertension Status,0
2009,Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Non-Smoker,948
2009,Medi-Cal,American Indian/Alaska Native,Smoking Status,Maternal Smoker,151
2009,Medi-Cal,American Indian/Alaska Native,Smoking Status,Unknown Smoking Status,28
2009,Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Non-Substance User,1069
2009,Medi-Cal,American Indian/Alaska Native,Substance Use Status,Maternal Substance User,58
2009,Medi-Cal,American Indian/Alaska Native,Substance Use Status,Unknown Substance Use Status,0
2009,Medi-Cal,Asian/Pacific Islander,Diabetes Status,Diabetes Diagnosis,1564
2009,Medi-Cal,Asian/Pacific Islander,Diabetes Status,No Diabetes Diagnosis,13545
2009,Medi-Cal,Asian/Pacific Islander,Diabetes Status,Unknown Diabetes Status,0
2009,Medi-Cal,Asian/Pacific Islander,Hypertension Status,Hypertension Diagnosis,833
2009,Medi-Cal,Asian/Pacific Islander,Hypertension Status,No Hypertension Diagnosis,14276
2009,Medi-Cal,Asian/Pacific Islander,Hypertension Status,Unknown Hypertension Status,0
2009,Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Non-Smoker,14659
2009,Medi-Cal,Asian/Pacific Islander,Smoking Status,Maternal Smoker,266
2009,Medi-Cal,Asian/Pacific Islander,Smoking Status,Unknown Smoking Status,184
