Calendar Year,Payer,Very Low Birthweight Status,Grouper,Birth Characteristic, Number of Births 
2007,Medi-Cal,"Birthweight >=1,500g",Pre-Pregnancy Weight,Underweight,9563
2007,Medi-Cal,"Birthweight >=1,500g",Pre-Pregnancy Weight,Unknown Weight,41005
2007,Medi-Cal,"Birthweight >=1,500g",Single/Multiple Birth,Multiple Birth,5227
2007,Medi-Cal,"Birthweight >=1,500g",Single/Multiple Birth,Singleton Birth,260078
2007,Medi-Cal,"Birthweight >=1,500g",Smoking Status,Maternal Non-Smoker,246268
2007,Medi-Cal,"Birthweight >=1,500g",Smoking Status,Maternal Smoker,10341
2007,Medi-Cal,"Birthweight >=1,500g",Smoking Status,Unknown Smoking Status,8696
2007,Medi-Cal,"Birthweight >=1,500g",Substance Use Status,Maternal Non-Substance User,260735
2007,Medi-Cal,"Birthweight >=1,500g",Substance Use Status,Maternal Substance User,4570
2007,Medi-Cal,"Birthweight >=1,500g",Substance Use Status,Unknown Substance Use Status,0
2007,Medi-Cal,Unknown Birthweight,Diabetes Status,Diabetes Diagnosis,0
2007,Medi-Cal,Unknown Birthweight,Diabetes Status,No Diabetes Diagnosis,17
2007,Medi-Cal,Unknown Birthweight,Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,Unknown Birthweight,Hypertension Status,Hypertension Diagnosis,1
2007,Medi-Cal,Unknown Birthweight,Hypertension Status,No Hypertension Diagnosis,16
2007,Medi-Cal,Unknown Birthweight,Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 17 and Younger,0
2007,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 18-19,4
2007,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 20-24,6
2007,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 25-29,5
2007,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 30-34,1
2007,Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 35 and Older,1
2007,Medi-Cal,Unknown Birthweight,Maternal Age Group,Invalid Age,0
2007,Medi-Cal,Unknown Birthweight,Maternal Education Status,Bachelor's Degree or Higher,0
2007,Medi-Cal,Unknown Birthweight,Maternal Education Status,High School Graduate,10
2007,Medi-Cal,Unknown Birthweight,Maternal Education Status,Less Than High School,3
2007,Medi-Cal,Unknown Birthweight,Maternal Education Status,Some College or Associate's Degree,2
2007,Medi-Cal,Unknown Birthweight,Maternal Education Status,Unknown Education,2
2007,Medi-Cal,Unknown Birthweight,Maternal Nativity,Foreign-Born,9
2007,Medi-Cal,Unknown Birthweight,Maternal Nativity,U.S.-Born,7
2007,Medi-Cal,Unknown Birthweight,Maternal Nativity,Unknown Nativity,1
2007,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,African-American,2
2007,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,0
2007,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Asian,0
2007,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,0
2007,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hispanic,12
2007,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,0
2007,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,0
2007,Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,White,3
2007,Medi-Cal,Unknown Birthweight,Parity Status,First-Born,6
2007,Medi-Cal,Unknown Birthweight,Parity Status,One Previous Birth,8
2007,Medi-Cal,Unknown Birthweight,Parity Status,Two or More Previous Births,3
2007,Medi-Cal,Unknown Birthweight,Parity Status,Unknown Parity,0
2007,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Normal Weight,3
2007,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,3
2007,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Underweight,0
2007,Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Unknown Weight,11
2007,Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Multiple Birth,2
2007,Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Singleton Birth,15
2007,Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Non-Smoker,14
2007,Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Smoker,1
2007,Medi-Cal,Unknown Birthweight,Smoking Status,Unknown Smoking Status,2
2007,Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Non-Substance User,16
2007,Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Substance User,1
2007,Medi-Cal,Unknown Birthweight,Substance Use Status,Unknown Substance Use Status,0
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Diabetes Status,Diabetes Diagnosis,239
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Diabetes Status,No Diabetes Diagnosis,2781
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Diabetes Status,Unknown Diabetes Status,0
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Hypertension Status,Hypertension Diagnosis,776
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Hypertension Status,No Hypertension Diagnosis,2244
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Hypertension Status,Unknown Hypertension Status,0
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 17 and Younger,162
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 18-19,326
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 20-24,863
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 25-29,705
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 30-34,545
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 35 and Older,419
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Invalid Age,0
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Bachelor's Degree or Higher,72
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,High School Graduate,1017
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Less Than High School,1234
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Some College or Associate's Degree,555
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Unknown Education,142
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Nativity,Foreign-Born,1384
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Nativity,U.S.-Born,1629
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Nativity,Unknown Nativity,7
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,African-American,432
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,American Indian/Alaska Native,8
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Asian,124
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Hawaiian/Pacific Islander,21
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Hispanic,1976
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Other/Unknown Race,52
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Two or More Race Categories,45
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,White,362
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,First-Born,1158
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,One Previous Birth,731
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,Two or More Previous Births,1118
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,Unknown Parity,13
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Normal Weight,919
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,1154
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Underweight,111
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Unknown Weight,836
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Single/Multiple Birth,Multiple Birth,607
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Single/Multiple Birth,Singleton Birth,2413
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Smoking Status,Maternal Non-Smoker,2752
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Smoking Status,Maternal Smoker,162
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Smoking Status,Unknown Smoking Status,106
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Substance Use Status,Maternal Non-Substance User,2854
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Substance Use Status,Maternal Substance User,166
2007,Medi-Cal,"Very Low Birthweight (<1,500g)",Substance Use Status,Unknown Substance Use Status,0
2007,Non-Medi-Cal,"Birthweight >=1,500g",Diabetes Status,Diabetes Diagnosis,20899
2007,Non-Medi-Cal,"Birthweight >=1,500g",Diabetes Status,No Diabetes Diagnosis,245403
2007,Non-Medi-Cal,"Birthweight >=1,500g",Diabetes Status,Unknown Diabetes Status,22597
2007,Non-Medi-Cal,"Birthweight >=1,500g",Hypertension Status,Hypertension Diagnosis,17627
2007,Non-Medi-Cal,"Birthweight >=1,500g",Hypertension Status,No Hypertension Diagnosis,248675
2007,Non-Medi-Cal,"Birthweight >=1,500g",Hypertension Status,Unknown Hypertension Status,22597
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 17 and Younger,5032
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 18-19,7181
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 20-24,38697
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 25-29,78117
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 30-34,90121
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 35 and Older,69721
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Invalid Age,30
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Bachelor's Degree or Higher,114825
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,High School Graduate,60464
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Less Than High School,29729
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Some College or Associate's Degree,73843
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Unknown Education,10038
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Nativity,Foreign-Born,110905
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Nativity,U.S.-Born,177789
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Nativity,Unknown Nativity,205
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,African-American,10627
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,American Indian/Alaska Native,826
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Asian,51277
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Hawaiian/Pacific Islander,1309
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Hispanic,101383
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Other/Unknown Race,5847
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,Two or More Race Categories,5777
2007,Non-Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,White,111853
2007,Non-Medi-Cal,"Birthweight >=1,500g",Parity Status,First-Born,120623
2007,Non-Medi-Cal,"Birthweight >=1,500g",Parity Status,One Previous Birth,96910
2007,Non-Medi-Cal,"Birthweight >=1,500g",Parity Status,Two or More Previous Births,70981
2007,Non-Medi-Cal,"Birthweight >=1,500g",Parity Status,Unknown Parity,385
2007,Non-Medi-Cal,"Birthweight >=1,500g",Pre-Pregnancy Weight,Normal Weight,132997
2007,Non-Medi-Cal,"Birthweight >=1,500g",Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,93481
2007,Non-Medi-Cal,"Birthweight >=1,500g",Pre-Pregnancy Weight,Underweight,10683
2007,Non-Medi-Cal,"Birthweight >=1,500g",Pre-Pregnancy Weight,Unknown Weight,51738
2007,Non-Medi-Cal,"Birthweight >=1,500g",Single/Multiple Birth,Multiple Birth,10372
2007,Non-Medi-Cal,"Birthweight >=1,500g",Single/Multiple Birth,Singleton Birth,278527
2007,Non-Medi-Cal,"Birthweight >=1,500g",Smoking Status,Maternal Non-Smoker,259678
2007,Non-Medi-Cal,"Birthweight >=1,500g",Smoking Status,Maternal Smoker,3510
2007,Non-Medi-Cal,"Birthweight >=1,500g",Smoking Status,Unknown Smoking Status,25711
2007,Non-Medi-Cal,"Birthweight >=1,500g",Substance Use Status,Maternal Non-Substance User,264888
2007,Non-Medi-Cal,"Birthweight >=1,500g",Substance Use Status,Maternal Substance User,1414
2007,Non-Medi-Cal,"Birthweight >=1,500g",Substance Use Status,Unknown Substance Use Status,22597
2007,Non-Medi-Cal,Unknown Birthweight,Diabetes Status,Diabetes Diagnosis,1
2007,Non-Medi-Cal,Unknown Birthweight,Diabetes Status,No Diabetes Diagnosis,19
2007,Non-Medi-Cal,Unknown Birthweight,Diabetes Status,Unknown Diabetes Status,18
2007,Non-Medi-Cal,Unknown Birthweight,Hypertension Status,Hypertension Diagnosis,3
2007,Non-Medi-Cal,Unknown Birthweight,Hypertension Status,No Hypertension Diagnosis,17
2007,Non-Medi-Cal,Unknown Birthweight,Hypertension Status,Unknown Hypertension Status,18
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 17 and Younger,0
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 18-19,1
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 20-24,4
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 25-29,14
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 30-34,14
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Ages 35 and Older,5
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Age Group,Invalid Age,0
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,Bachelor's Degree or Higher,11
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,High School Graduate,7
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,Less Than High School,4
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,Some College or Associate's Degree,10
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Education Status,Unknown Education,6
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Nativity,Foreign-Born,13
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Nativity,U.S.-Born,23
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Nativity,Unknown Nativity,2
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,African-American,5
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,American Indian/Alaska Native,2
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Asian,5
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hawaiian/Pacific Islander,0
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Hispanic,11
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Other/Unknown Race,4
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,Two or More Race Categories,1
2007,Non-Medi-Cal,Unknown Birthweight,Maternal Race/Ethnicity,White,10
2007,Non-Medi-Cal,Unknown Birthweight,Parity Status,First-Born,23
2007,Non-Medi-Cal,Unknown Birthweight,Parity Status,One Previous Birth,6
2007,Non-Medi-Cal,Unknown Birthweight,Parity Status,Two or More Previous Births,8
2007,Non-Medi-Cal,Unknown Birthweight,Parity Status,Unknown Parity,1
2007,Non-Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Normal Weight,2
2007,Non-Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,9
2007,Non-Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Underweight,0
2007,Non-Medi-Cal,Unknown Birthweight,Pre-Pregnancy Weight,Unknown Weight,27
2007,Non-Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Multiple Birth,9
2007,Non-Medi-Cal,Unknown Birthweight,Single/Multiple Birth,Singleton Birth,29
2007,Non-Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Non-Smoker,16
2007,Non-Medi-Cal,Unknown Birthweight,Smoking Status,Maternal Smoker,1
2007,Non-Medi-Cal,Unknown Birthweight,Smoking Status,Unknown Smoking Status,21
2007,Non-Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Non-Substance User,18
2007,Non-Medi-Cal,Unknown Birthweight,Substance Use Status,Maternal Substance User,2
2007,Non-Medi-Cal,Unknown Birthweight,Substance Use Status,Unknown Substance Use Status,18
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Diabetes Status,Diabetes Diagnosis,349
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Diabetes Status,No Diabetes Diagnosis,2663
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Diabetes Status,Unknown Diabetes Status,593
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Hypertension Status,Hypertension Diagnosis,849
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Hypertension Status,No Hypertension Diagnosis,2163
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Hypertension Status,Unknown Hypertension Status,593
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 17 and Younger,87
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 18-19,118
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 20-24,475
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 25-29,819
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 30-34,1026
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Ages 35 and Older,1078
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Age Group,Invalid Age,2
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Bachelor's Degree or Higher,1278
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,High School Graduate,770
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Less Than High School,437
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Some College or Associate's Degree,927
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Education Status,Unknown Education,193
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Nativity,Foreign-Born,1296
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Nativity,U.S.-Born,2300
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Nativity,Unknown Nativity,9
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,African-American,344
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,American Indian/Alaska Native,8
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Asian,578
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Hawaiian/Pacific Islander,18
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Hispanic,1268
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Other/Unknown Race,129
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,Two or More Race Categories,78
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Maternal Race/Ethnicity,White,1182
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,First-Born,1598
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,One Previous Birth,1030
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,Two or More Previous Births,967
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Parity Status,Unknown Parity,10
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Normal Weight,1001
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Overweight/Obese/Extremely Obese,1035
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Underweight,89
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Pre-Pregnancy Weight,Unknown Weight,1480
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Single/Multiple Birth,Multiple Birth,1173
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Single/Multiple Birth,Singleton Birth,2432
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Smoking Status,Maternal Non-Smoker,2894
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Smoking Status,Maternal Smoker,62
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Smoking Status,Unknown Smoking Status,649
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Substance Use Status,Maternal Non-Substance User,2958
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Substance Use Status,Maternal Substance User,54
2007,Non-Medi-Cal,"Very Low Birthweight (<1,500g)",Substance Use Status,Unknown Substance Use Status,593
2008,Medi-Cal,"Birthweight >=1,500g",Diabetes Status,Diabetes Diagnosis,18660
2008,Medi-Cal,"Birthweight >=1,500g",Diabetes Status,No Diabetes Diagnosis,243671
2008,Medi-Cal,"Birthweight >=1,500g",Diabetes Status,Unknown Diabetes Status,0
2008,Medi-Cal,"Birthweight >=1,500g",Hypertension Status,Hypertension Diagnosis,16717
2008,Medi-Cal,"Birthweight >=1,500g",Hypertension Status,No Hypertension Diagnosis,245614
2008,Medi-Cal,"Birthweight >=1,500g",Hypertension Status,Unknown Hypertension Status,0
2008,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 17 and Younger,12375
2008,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 18-19,27406
2008,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 20-24,84506
2008,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 25-29,69057
2008,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 30-34,42725
2008,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Ages 35 and Older,26262
2008,Medi-Cal,"Birthweight >=1,500g",Maternal Age Group,Invalid Age,0
2008,Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Bachelor's Degree or Higher,8807
2008,Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,High School Graduate,85773
2008,Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Less Than High School,114254
2008,Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Some College or Associate's Degree,46002
2008,Medi-Cal,"Birthweight >=1,500g",Maternal Education Status,Unknown Education,7495
2008,Medi-Cal,"Birthweight >=1,500g",Maternal Nativity,Foreign-Born,137350
2008,Medi-Cal,"Birthweight >=1,500g",Maternal Nativity,U.S.-Born,124885
2008,Medi-Cal,"Birthweight >=1,500g",Maternal Nativity,Unknown Nativity,96
2008,Medi-Cal,"Birthweight >=1,500g",Maternal Race/Ethnicity,African-American,18075
